,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
32,4.0,Sun,2015-09-13,15:00,Univ Pretoria,0–1,Bidvest Wits,1000.0,ABSA Tuks Stadium,Thando Ndzandzeka,Match Report,
33,4.0,Sun,2015-09-13,15:00,Jomo Cosmos,1–2,Platinum Stars,8000.0,Profert Olën Park,Lwandile Mfiki,Match Report,
34,4.0,Fri,2015-09-18,19:30,Orlando Pirates,1–1,Black Aces,4000.0,Orlando Stadium,Victor Hlungwani,Match Report,
35,,,,,,,,,,,,
36,5.0,Tue,2015-09-22,19:30,Maritzburg Utd,2–3,Free State Stars,2000.0,Harry Gwala Stadium,Victor Gomes,Match Report,
37,5.0,Tue,2015-09-22,19:30,Bidvest Wits,1–0,SuperSport,1500.0,BidVest Stadium,Thando Ndzandzeka,Match Report,
38,5.0,Tue,2015-09-22,19:30,Polokwane City,0–0,Orlando Pirates,10000.0,Peter Mokaba Stadium,Kulasande Qongqo,Match Report,
39,5.0,Tue,2015-09-22,19:30,Platinum Stars,3–2,Chippa Utd,1000.0,Moruleng Stadium,Victor Hlungwani,Match Report,
40,5.0,Wed,2015-09-23,19:30,Golden Arrows,1–2,Black Aces,2500.0,Chatsworth Stadium,Robert Smith,Match Report,
41,5.0,Wed,2015-09-23,19:30,Sundowns,3–2,Ajax Cape Town,20000.0,Lucas Masterpieces Moripe Stadium,Lwandile Mfiki,Match Report,
42,5.0,Wed,2015-09-23,19:30,Kaizer Chiefs,1–1,Univ Pretoria,5000.0,Soccer City,Zolile Mthetho,Match Report,
43,5.0,Thu,2015-09-24,17:00,Bloem Celtic,1–0,Jomo Cosmos,7000.0,Toyota Stadium,Thelelani Ndada,Match Report,
44,,,,,,,,,,,,
45,6.0,Fri,2015-09-25,20:00,Chippa Utd,2–1,Polokwane City,8000.0,Nelson Mandela Bay Stadium,Victor Gomes,Match Report,
46,6.0,Sat,2015-09-26,15:00,Free State Stars,0–0,Bidvest Wits,2000.0,Goble Park Stadium,Lwandile Mfiki,Match Report,
47,6.0,Sat,2015-09-26,15:00,SuperSport,1–3,Platinum Stars,1000.0,Lucas Masterpieces Moripe Stadium,Zolile Mthetho,Match Report,
48,6.0,Sat,2015-09-26,20:15,Ajax Cape Town,1–1,Kaizer Chiefs,1500.0,Cape Town Stadium,Victor Hlungwani,Match Report,
49,6.0,Sun,2015-09-27,15:00,Black Aces,4–1,Maritzburg Utd,4640.0,KaNyamazane Stadium,Phillip Tinyani,Match Report,
50,6.0,Sun,2015-09-27,15:00,Univ Pretoria,0–2,Bloem Celtic,500.0,ABSA Tuks Stadium,Bafana Mosia,Match Report,
51,6.0,Sun,2015-09-27,15:00,Jomo Cosmos,0–2,Sundowns,9000.0,Profert Olën Park,Daniel Bennett,Match Report,
52,,,,,,,,,,,,
53,7.0,Sat,2015-10-17,15:30,Golden Arrows,0–0,Bloem Celtic,4000.0,Chatsworth Stadium,Nkosinathi Mahono,Match Report,
54,,,,,,,,,,,,
55,8.0,Tue,2015-10-20,19:30,Jomo Cosmos,0–0,Kaizer Chiefs,5000.0,Profert Olën Park,Zolile Mthetho,Match Report,
56,8.0,Tue,2015-10-20,19:30,SuperSport,1–2,Golden Arrows,750.0,Lucas Masterpieces Moripe Stadium,Phillip Tinyani,Match Report,
57,8.0,Wed,2015-10-21,19:30,Ajax Cape Town,0–0,Univ Pretoria,300.0,Athlone Stadium,Thando Ndzandzeka,Match Report,
58,8.0,Wed,2015-10-21,19:30,Maritzburg Utd,0–2,Chippa Utd,3000.0,Harry Gwala Stadium,Bafana Mosia,Match Report,
59,8.0,Wed,2015-10-21,19:30,Black Aces,2–2,Platinum Stars,1500.0,Mbombela Stadium,Phelelani Ndaba,Match Report,
60,8.0,Wed,2015-10-21,19:30,Bloem Celtic,0–1,Sundowns,15000.0,Dr. Petrus Molemela Stadium,Kulasande Qongqo,Match Report,
61,8.0,Wed,2015-10-21,19:30,Polokwane City,0–2,Free State Stars,2000.0,Peter Mokaba Stadium,Daniel Bennett,Match Report,
62,8.0,Wed,2015-10-21,19:30,Orlando Pirates,0–1,Bidvest Wits,6000.0,Orlando Stadium,Victor Gomes,Match Report,
63,,,,,,,,,,,,
64,7.0,Tue,2015-10-27,19:30,Kaizer Chiefs,1–0,Black Aces,8000.0,Soccer City,Phillip Tinyani,Match Report,
65,7.0,Tue,2015-10-27,19:30,Chippa Utd,0–2,SuperSport,5000.0,Nelson Mandela Bay Stadium,Victor Hlungwani,Match Report,
66,,,,,,,,,,,,
67,6.0,Wed,2015-10-28,19:30,Orlando Pirates,0–2,Golden Arrows,2500.0,Orlando Stadium,Thando Ndzandzeka,Match Report,
68,,,,,,,,,,,,
69,7.0,Wed,2015-10-28,19:30,Sundowns,0–0,Polokwane City,4000.0,Lucas Masterpieces Moripe Stadium,Daniel Bennett,Match Report,
70,,,,,,,,,,,,
71,9.0,Fri,2015-10-30,20:00,Chippa Utd,2–1,Black Aces,8000.0,Nelson Mandela Bay Stadium,Bafana Mosia,Match Report,
72,9.0,Sat,2015-10-31,15:30,Kaizer Chiefs,1–3,Orlando Pirates,90000.0,Soccer City,Kulasande Qongqo,Match Report,
73,9.0,Sat,2015-10-31,20:15,Sundowns,3–0,Maritzburg Utd,5000.0,Lucas Masterpieces Moripe Stadium,Khulekane Thusi,Match Report,
74,9.0,Sat,2015-10-31,20:15,Jomo Cosmos,1–0,Polokwane City,1000.0,Profert Olën Park,Zolile Mthetho,Match Report,
75,9.0,Sat,2015-10-31,20:15,Bidvest Wits,0–0,Bloem Celtic,1500.0,BidVest Stadium,Phillip Tinyani,Match Report,
76,9.0,Sun,2015-11-01,15:30,Univ Pretoria,0–2,Platinum Stars,750.0,ABSA Tuks Stadium,Thando Ndzandzeka,Match Report,
77,9.0,Sun,2015-11-01,15:30,Free State Stars,0–0,SuperSport,1000.0,Goble Park Stadium,Eketsang Setloboko,Match Report,
78,,,,,,,,,,,,
79,10.0,Tue,2015-11-03,19:30,Black Aces,3–1,Jomo Cosmos,1500.0,Mbombela Stadium,Victor Hlungwani,Match Report,
80,10.0,Tue,2015-11-03,19:30,Maritzburg Utd,2–3,Polokwane City,2000.0,Harry Gwala Stadium,Bafana Mosia,Match Report,
81,10.0,Tue,2015-11-03,19:30,Kaizer Chiefs,3–1,Golden Arrows,5000.0,Soccer City,Eketsang Setloboko,Match Report,
82,10.0,Wed,2015-11-04,19:30,Ajax Cape Town,1–2,Orlando Pirates,27000.0,Cape Town Stadium,Zolile Mthetho,Match Report,
83,10.0,Wed,2015-11-04,19:30,SuperSport,1–1,Bloem Celtic,500.0,Peter Mokaba Stadium,Kulasande Qongqo,Match Report,
84,10.0,Wed,2015-11-04,19:30,Chippa Utd,0–1,Sundowns,8000.0,Nelson Mandela Bay Stadium,Phillip Tinyani,Match Report,
85,10.0,Wed,2015-11-04,19:30,Platinum Stars,0–4,Bidvest Wits,525.0,Royal Bafokeng Stadium,Thando Ndzandzeka,Match Report,
86,,,,,,,,,,,,
87,7.0,Sun,2015-11-08,16:30,Univ Pretoria,0–1,Maritzburg Utd,700.0,ABSA Tuks Stadium,Phillip Tinyani,Match Report,
88,7.0,Sun,2015-11-08,19:30,Bidvest Wits,3–1,Jomo Cosmos,5000.0,BidVest Stadium,Kulasande Qongqo,Match Report,
89,,,,,,,,,,,,
90,11.0,Sat,2015-11-21,15:30,Bidvest Wits,3–2,Golden Arrows,5000.0,BidVest Stadium,Phillip Tinyani,Match Report,
91,11.0,Sat,2015-11-21,15:30,Polokwane City,1–0,Platinum Stars,5788.0,Peter Mokaba Stadium,Bafana Mosia,Match Report,
92,11.0,Sat,2015-11-21,18:00,Maritzburg Utd,1–1,Kaizer Chiefs,11000.0,Harry Gwala Stadium,Thando Ndzandzeka,Match Report,
93,11.0,Sat,2015-11-21,20:15,Sundowns,3–1,Free State Stars,800.0,Lucas Masterpieces Moripe Stadium,Zolile Mthetho,Match Report,
94,11.0,Sat,2015-11-21,20:15,Ajax Cape Town,0–1,SuperSport,1500.0,Athlone Stadium,Victor Hlungwani,Match Report,
95,11.0,Sun,2015-11-22,15:30,Bloem Celtic,0–2,Black Aces,17000.0,Toyota Stadium,Phelelani Ndaba,Match Report,
96,11.0,Sun,2015-11-22,15:30,Jomo Cosmos,4–3,Chippa Utd,2132.0,Profert Olën Park,Daniel Bennett,Match Report,
97,,,,,,,,,,,,
98,10.0,Sun,2015-12-13,15:30,Free State Stars,1–1,Univ Pretoria,8800.0,Goble Park Stadium,Victor Hlungwani,Match Report,
99,,,,,,,,,,,,
100,11.0,Fri,2015-12-18,20:00,Chippa Utd,2–1,Bloem Celtic,6000.0,Nelson Mandela Bay Stadium,Victor Hlungwani,Match Report,
101,,,,,,,,,,,,
102,12.0,Sat,2015-12-19,15:30,Golden Arrows,1–0,Polokwane City,3000.0,Chatsworth Stadium,Phillip Tinyani,Match Report,
103,12.0,Sat,2015-12-19,15:30,Free State Stars,1–0,Jomo Cosmos,1600.0,Goble Park Stadium,Olani Kwinda,Match Report,
104,12.0,Sat,2015-12-19,18:00,Kaizer Chiefs,2–1,Bidvest Wits,24000.0,Soccer City,Daniel Bennett,Match Report,
105,12.0,Sat,2015-12-19,20:15,Black Aces,1–0,Ajax Cape Town,11200.0,Mbombela Stadium,Kulasande Qongqo,Match Report,
106,12.0,Sun,2015-12-20,15:30,Sundowns,2–0,Orlando Pirates,30000.0,Loftus Versfeld Stadium,Thando Ndzandzeka,Match Report,
107,12.0,Sun,2015-12-20,15:30,Univ Pretoria,0–2,SuperSport,5000.0,ABSA Tuks Stadium,Eketsang Setloboko,Match Report,
108,12.0,Sun,2015-12-20,15:30,Platinum Stars,1–1,Maritzburg Utd,1185.0,Royal Bafokeng Stadium,Victor Gomes,Match Report,
109,12.0,Fri,2016-01-08,20:00,Ajax Cape Town,2–2,Bloem Celtic,3000.0,Athlone Stadium,Zolile Mthetho,Match Report,
110,,,,,,,,,,,,
111,13.0,Sat,2016-01-09,15:30,Free State Stars,1–3,Golden Arrows,2040.0,Goble Park Stadium,Bafana Mosia,Match Report,
112,13.0,Sat,2016-01-09,15:30,Orlando Pirates,1–1,Platinum Stars,4000.0,Orlando Stadium,Victor Hlungwani,Match Report,
113,13.0,Sat,2016-01-09,15:30,Univ Pretoria,1–0,Jomo Cosmos,5000.0,ABSA Tuks Stadium,Kulasande Qongqo,Match Report,
114,13.0,Sat,2016-01-09,20:15,Black Aces,1–0,Polokwane City,2000.0,Mbombela Stadium,Victor Gomes,Match Report,
115,13.0,Sat,2016-01-09,20:15,Kaizer Chiefs,0–0,Sundowns,20000.0,Soccer City,Phillip Tinyani,Match Report,
116,13.0,Sun,2016-01-10,15:30,Chippa Utd,1–3,Bidvest Wits,4556.0,Nelson Mandela Bay Stadium,Thando Ndzandzeka,Match Report,
117,13.0,Sun,2016-01-10,15:30,SuperSport,2–2,Maritzburg Utd,2014.0,Peter Mokaba Stadium,Olani Kwinda,Match Report,
118,,,,,,,,,,,,
119,9.0,Wed,2016-01-13,18:00,Golden Arrows,1–1,Ajax Cape Town,2000.0,Chatsworth Stadium,Olani Kwinda,Match Report,
120,,,,,,,,,,,,
121,13.0,Wed,2016-01-13,19:30,Orlando Pirates,2–0,Univ Pretoria,3000.0,Orlando Stadium,Zolile Mthetho,Match Report,
122,,,,,,,,,,,,
123,14.0,Fri,2016-01-15,20:00,Bidvest Wits,1–2,Black Aces,8000.0,BidVest Stadium,Victor Hlungwani,Match Report,
124,14.0,Sat,2016-01-16,15:30,Polokwane City,4–1,SuperSport,6115.0,Peter Mokaba Stadium,Thelelani Ndada,Match Report,
125,14.0,Sat,2016-01-16,15:30,Golden Arrows,0–2,Chippa Utd,4000.0,Chatsworth Stadium,Phillip Tinyani,Match Report,
126,14.0,Sat,2016-01-16,18:00,Sundowns,2–1,Univ Pretoria,2000.0,Lucas Masterpieces Moripe Stadium,Bafana Mosia,Match Report,
127,14.0,Sat,2016-01-16,20:15,Maritzburg Utd,3–3,Orlando Pirates,8000.0,Harry Gwala Stadium,Kulasande Qongqo,Match Report,
128,14.0,Sun,2016-01-17,15:30,Bloem Celtic,0–1,Kaizer Chiefs,1500.0,Toyota Stadium,Thando Ndzandzeka,Match Report,
129,14.0,Sun,2016-01-17,15:30,Jomo Cosmos,1–2,Ajax Cape Town,3000.0,Profert Olën Park,Victor Gomes,Match Report,
130,14.0,Sun,2016-01-17,15:30,Platinum Stars,1–2,Free State Stars,1500.0,Moruleng Stadium,Zolile Mthetho,Match Report,
131,,,,,,,,,,,,
132,15.0,Fri,2016-01-22,20:00,Bidvest Wits,5–0,Polokwane City,3000.0,BidVest Stadium,Thando Ndzandzeka,Match Report,
133,15.0,Sat,2016-01-23,15:30,Free State Stars,1–0,Bloem Celtic,5700.0,Goble Park Stadium,Victor Gomes,Match Report,
134,15.0,Sat,2016-01-23,18:00,Jomo Cosmos,1–0,Orlando Pirates,15000.0,Profert Olën Park,Bafana Mosia,Match Report,
135,15.0,Sat,2016-01-23,20:15,Sundowns,2–0,SuperSport,10000.0,Lucas Masterpieces Moripe Stadium,Phillip Tinyani,Match Report,
136,15.0,Sun,2016-01-24,15:30,Kaizer Chiefs,1–2,Platinum Stars,40000.0,Soccer City,Khulekane Thusi,Match Report,
137,15.0,Sun,2016-01-24,15:30,Chippa Utd,3–1,Ajax Cape Town,6000.0,Nelson Mandela Bay Stadium,Phelelani Ndaba,Match Report,
138,15.0,Sun,2016-01-24,15:30,Univ Pretoria,1–0,Black Aces,5000.0,ABSA Tuks Stadium,Kulasande Qongqo,Match Report,
139,,,,,,,,,,,,
140,16.0,Fri,2016-01-29,20:00,Ajax Cape Town,1–0,Golden Arrows,1500.0,Athlone Stadium,Thando Ndzandzeka,Match Report,
141,16.0,Sat,2016-01-30,15:30,Polokwane City,2–1,Jomo Cosmos,2500.0,Peter Mokaba Stadium,Khulekane Thusi,Match Report,
142,16.0,Sat,2016-01-30,15:30,Orlando Pirates,1–1,Kaizer Chiefs,6000.0,Soccer City,Phillip Tinyani,Match Report,
143,16.0,Sat,2016-01-30,18:00,SuperSport,1–0,Free State Stars,600.0,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
144,16.0,Sat,2016-01-30,20:15,Maritzburg Utd,2–3,Sundowns,5000.0,Harry Gwala Stadium,Shane Chuma,Match Report,
145,16.0,Sat,2016-01-30,20:15,Black Aces,1–0,Chippa Utd,344.0,Mbombela Stadium,Zolile Mthetho,Match Report,
146,16.0,Sun,2016-01-31,15:30,Bloem Celtic,2–1,Bidvest Wits,5000.0,Toyota Stadium,Bafana Mosia,Match Report,
147,16.0,Sun,2016-01-31,15:30,Platinum Stars,2–0,Univ Pretoria,500.0,Royal Bafokeng Stadium,Akhona Makhalima,Match Report,
148,,,,,,,,,,,,
149,17.0,Tue,2016-02-02,19:30,Golden Arrows,0–2,Kaizer Chiefs,10000.0,Moses Mabhida Stadium,Kulasande Qongqo,Match Report,
150,17.0,Tue,2016-02-02,19:30,Sundowns,3–0,Chippa Utd,2500.0,Lucas Masterpieces Moripe Stadium,Thando Ndzandzeka,Match Report,
151,17.0,Tue,2016-02-02,19:30,Jomo Cosmos,0–0,Black Aces,2113.0,Profert Olën Park,Phelelani Ndaba,Match Report,
152,17.0,Wed,2016-02-03,19:30,Univ Pretoria,2–2,Free State Stars,3000.0,ABSA Tuks Stadium,Khulekane Thusi,Match Report,
153,17.0,Wed,2016-02-03,19:30,Bidvest Wits,1–1,Platinum Stars,3000.0,BidVest Stadium,Phillip Tinyani,Match Report,
154,17.0,Wed,2016-02-03,19:30,Orlando Pirates,2–1,Ajax Cape Town,3000.0,Orlando Stadium,Zolile Mthetho,Match Report,
155,17.0,Wed,2016-02-03,19:30,Polokwane City,3–1,Maritzburg Utd,7754.0,Peter Mokaba Stadium,Victor Hlungwani,Match Report,
156,17.0,Wed,2016-02-03,19:30,Bloem Celtic,1–1,SuperSport,5000.0,Toyota Stadium,Victor Gomes,Match Report,
157,,,,,,,,,,,,
158,18.0,Sat,2016-02-06,15:30,Golden Arrows,0–1,Bidvest Wits,1500.0,Chatsworth Stadium,Zolile Mthetho,Match Report,
159,18.0,Sat,2016-02-06,15:30,Black Aces,0–0,Bloem Celtic,125.0,Mbombela Stadium,Victor Hlungwani,Match Report,
160,18.0,Sat,2016-02-06,18:00,Kaizer Chiefs,3–2,Maritzburg Utd,3000.0,Soccer City,Thando Ndzandzeka,Match Report,
161,18.0,Sat,2016-02-06,20:15,Chippa Utd,2–1,Jomo Cosmos,2500.0,Nelson Mandela Bay Stadium,Phillip Tinyani,Match Report,
162,18.0,Sat,2016-02-06,20:15,Univ Pretoria,0–1,Orlando Pirates,15000.0,ABSA Tuks Stadium,Kulasande Qongqo,Match Report,
163,18.0,Sun,2016-02-07,15:30,SuperSport,1–3,Ajax Cape Town,500.0,Lucas Masterpieces Moripe Stadium,Khulekane Thusi,Match Report,
164,18.0,Sun,2016-02-07,15:30,Platinum Stars,3–0,Polokwane City,750.0,Royal Bafokeng Stadium,Bafana Mosia,Match Report,
165,18.0,Sun,2016-02-07,15:30,Free State Stars,2–5,Sundowns,3000.0,Goble Park Stadium,Olani Kwinda,Match Report,
166,,,,,,,,,,,,
167,19.0,Tue,2016-02-09,19:30,Bidvest Wits,0–1,Kaizer Chiefs,5000.0,BidVest Stadium,Victor Gomes,Match Report,
168,19.0,Wed,2016-02-10,19:30,Ajax Cape Town,2–2,Black Aces,2000.0,Athlone Stadium,Thando Ndzandzeka,Match Report,
169,19.0,Wed,2016-02-10,19:30,Orlando Pirates,1–2,Sundowns,15000.0,Orlando Stadium,Victor Hlungwani,Match Report,
170,19.0,Sat,2016-02-13,15:30,Jomo Cosmos,1–0,Free State Stars,500.0,Profert Olën Park,Victor Hlungwani,Match Report,
171,19.0,Sat,2016-02-13,18:00,Polokwane City,1–2,Golden Arrows,2000.0,Peter Mokaba Stadium,Kulasande Qongqo,Match Report,
172,19.0,Sat,2016-02-13,20:15,Maritzburg Utd,1–1,Platinum Stars,2500.0,Harry Gwala Stadium,Phillip Tinyani,Match Report,
173,19.0,Sun,2016-02-14,15:30,Bloem Celtic,0–1,Chippa Utd,4000.0,Toyota Stadium,Zolile Mthetho,Match Report,
174,19.0,Sun,2016-02-14,15:30,SuperSport,2–0,Univ Pretoria,1500.0,Lucas Masterpieces Moripe Stadium,Victor Gomes,Match Report,
175,,,,,,,,,,,,
176,7.0,Wed,2016-02-17,19:30,Free State Stars,1–0,Orlando Pirates,6500.0,Charles Mopeli Stadium,Olani Kwinda,Match Report,
177,,,,,,,,,,,,
178,20.0,Fri,2016-02-19,20:00,Bidvest Wits,2–1,Univ Pretoria,3000.0,BidVest Stadium,Thando Ndzandzeka,Match Report,
179,20.0,Sat,2016-02-20,15:30,Chippa Utd,2–0,Free State Stars,6500.0,Nelson Mandela Bay Stadium,Daniel Bennett,Match Report,
180,20.0,Sat,2016-02-20,15:30,Polokwane City,2–3,Ajax Cape Town,4722.0,Peter Mokaba Stadium,Phelelani Ndaba,Match Report,
181,20.0,Sat,2016-02-20,18:00,Sundowns,0–0,Golden Arrows,10000.0,Lucas Masterpieces Moripe Stadium,Phillip Tinyani,Match Report,
182,20.0,Sat,2016-02-20,20:15,Kaizer Chiefs,2–1,SuperSport,30000.0,Cape Town Stadium,Zolile Mthetho,Match Report,
183,20.0,Sun,2016-02-21,15:30,Platinum Stars,1–0,Jomo Cosmos,915.0,Moruleng Stadium,Khulekane Thusi,Match Report,
184,20.0,Sun,2016-02-21,15:30,Black Aces,1–3,Orlando Pirates,20000.0,Mbombela Stadium,Victor Gomes,Match Report,
185,20.0,Sun,2016-02-21,15:30,Bloem Celtic,0–1,Maritzburg Utd,6000.0,Dr. Petrus Molemela Stadium,Kulasande Qongqo,Match Report,
186,,,,,,,,,,,,
187,21.0,Tue,2016-02-23,19:30,Kaizer Chiefs,1–1,Polokwane City,3000.0,Soccer City,Victor Hlungwani,Match Report,
188,21.0,Wed,2016-02-24,18:00,Free State Stars,1–0,Ajax Cape Town,200.0,Goble Park Stadium,Shane Chuma,Match Report,
189,21.0,Wed,2016-02-24,19:30,Sundowns,2–1,Black Aces,4000.0,Lucas Masterpieces Moripe Stadium,Zolile Mthetho,Match Report,
190,21.0,Wed,2016-02-24,19:30,Maritzburg Utd,1–2,Bidvest Wits,7000.0,Harry Gwala Stadium,Daniel Bennett,Match Report,
191,21.0,Sat,2016-02-27,15:30,Jomo Cosmos,2–4,SuperSport,2000.0,Profert Olën Park,Phillip Tinyani,Match Report,
192,21.0,Sat,2016-02-27,15:30,Univ Pretoria,3–0,Chippa Utd,1500.0,ABSA Tuks Stadium,Phelelani Ndaba,Match Report,
193,21.0,Sat,2016-02-27,20:15,Orlando Pirates,1–0,Bloem Celtic,6000.0,Orlando Stadium,Kulasande Qongqo,Match Report,
194,21.0,Sun,2016-02-28,15:30,Golden Arrows,1–0,Platinum Stars,2000.0,Chatsworth Stadium,Thando Ndzandzeka,Match Report,
195,,,,,,,,,,,,
196,22.0,Tue,2016-03-01,17:30,SuperSport,0–2,Sundowns,9000.0,Easter Road Stadium,Daniel Bennett,Match Report,
197,22.0,Tue,2016-03-01,19:30,Ajax Cape Town,1–1,Chippa Utd,2500.0,Athlone Stadium,Thando Ndzandzeka,Match Report,
198,22.0,Wed,2016-03-09,19:30,Platinum Stars,2–0,Kaizer Chiefs,15000.0,Royal Bafokeng Stadium,Victor Gomes,Match Report,
199,22.0,Wed,2016-03-09,19:30,Polokwane City,0–1,Bidvest Wits,2000.0,Peter Mokaba Stadium,Bafana Mosia,Match Report,
200,22.0,Fri,2016-03-11,20:00,Maritzburg Utd,2–0,Golden Arrows,9000.0,Harry Gwala Stadium,Zolile Mthetho,Match Report,
201,22.0,Sat,2016-03-12,15:30,Black Aces,1–1,Univ Pretoria,240.0,Mbombela Stadium,Thando Ndzandzeka,Match Report,
202,22.0,Sat,2016-03-12,20:15,Orlando Pirates,5–0,Jomo Cosmos,5000.0,Orlando Stadium,Victor Gomes,Match Report,
203,,,,,,,,,,,,
204,7.0,Sun,2016-03-13,15:30,Platinum Stars,3–0,Ajax Cape Town,919.0,Royal Bafokeng Stadium,Bafana Mosia,Match Report,
205,,,,,,,,,,,,
206,22.0,Sun,2016-03-13,15:30,Bloem Celtic,1–2,Free State Stars,7000.0,Dr. Petrus Molemela Stadium,Nkosinathi Mahono,Match Report,
207,,,,,,,,,,,,
208,23.0,Tue,2016-03-15,19:30,Kaizer Chiefs,0–1,Jomo Cosmos,2000.0,Soccer City,Phelelani Ndaba,Match Report,
209,23.0,Wed,2016-03-16,19:30,Univ Pretoria,0–1,Ajax Cape Town,2000.0,ABSA Tuks Stadium,Olani Kwinda,Match Report,
210,23.0,Wed,2016-03-16,19:30,Bidvest Wits,1–0,Orlando Pirates,6000.0,BidVest Stadium,Thando Ndzandzeka,Match Report,
211,23.0,Wed,2016-03-16,19:30,Sundowns,1–3,Bloem Celtic,4000.0,Lucas Masterpieces Moripe Stadium,Victor Gomes,Match Report,
212,23.0,Sat,2016-03-19,15:30,Golden Arrows,0–3,SuperSport,1500.0,Chatsworth Stadium,Eketsang Setloboko,Match Report,
213,23.0,Sat,2016-03-19,15:30,Free State Stars,1–1,Polokwane City,4000.0,Goble Park Stadium,Zolile Mthetho,Match Report,
