,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Sat,2015-08-08,15:00,Free State Stars,0–1,Black Aces,1500.0,Goble Park Stadium,Bafana Mosia,Match Report,
1,1.0,Sat,2015-08-08,15:00,Polokwane City,3–2,Bloem Celtic,6772.0,Peter Mokaba Stadium,Lwandile Mfiki,Match Report,
2,1.0,Sat,2015-08-08,20:15,Bidvest Wits,2–1,Ajax Cape Town,3000.0,BidVest Stadium,Robert Smith,Match Report,
3,1.0,Sat,2015-08-08,20:15,Platinum Stars,0–0,Sundowns,3000.0,Royal Bafokeng Stadium,Eketsang Setloboko,Match Report,
4,1.0,Sun,2015-08-09,15:00,Golden Arrows,1–0,Univ Pretoria,2000.0,Chatsworth Stadium,Zolile Mthetho,Match Report,
5,1.0,Sun,2015-08-09,15:00,Chippa Utd,0–0,Kaizer Chiefs,20000.0,Nelson Mandela Bay Stadium,Victor Hlungwani,Match Report,
6,1.0,Mon,2015-08-10,17:00,Maritzburg Utd,0–0,Jomo Cosmos,5000.0,Harry Gwala Stadium,Thando Ndzandzeka,Match Report,
7,1.0,Wed,2015-08-12,12:00,SuperSport,1–0,Orlando Pirates,10000.0,Peter Mokaba Stadium,Daniel Bennett,Match Report,
8,,,,,,,,,,,,
9,2.0,Tue,2015-08-18,19:30,Orlando Pirates,4–1,Chippa Utd,2000.0,Orlando Stadium,Victor Gomes,Match Report,
10,2.0,Sat,2015-08-22,15:00,Sundowns,4–2,Bidvest Wits,10000.0,Lucas Masterpieces Moripe Stadium,Robert Smith,Match Report,
11,2.0,Sat,2015-08-22,15:00,Univ Pretoria,3–0,Polokwane City,5000.0,ABSA Tuks Stadium,Phillip Tinyani,Match Report,
12,2.0,Sat,2015-08-22,18:00,Black Aces,1–1,SuperSport,2000.0,Mbombela Stadium,Lwandile Mfiki,Match Report,
13,2.0,Sat,2015-08-22,20:15,Ajax Cape Town,3–1,Maritzburg Utd,2000.0,Cape Town Stadium,Victor Hlungwani,Match Report,
14,2.0,Sat,2015-08-22,20:15,Kaizer Chiefs,4–0,Free State Stars,5000.0,Soccer City,Zolile Mthetho,Match Report,
15,2.0,Sun,2015-08-23,15:00,Bloem Celtic,1–1,Platinum Stars,10000.0,Toyota Stadium,Thando Ndzandzeka,Match Report,
16,2.0,Sun,2015-08-23,15:00,Jomo Cosmos,0–0,Golden Arrows,1000.0,Profert Olën Park,Victor Gomes,Match Report,
17,,,,,,,,,,,,
18,3.0,Tue,2015-08-25,19:30,Chippa Utd,4–0,Univ Pretoria,1000.0,Nelson Mandela Bay Stadium,Thando Ndzandzeka,Match Report,
19,3.0,Tue,2015-08-25,19:30,Polokwane City,1–1,Kaizer Chiefs,30917.0,Peter Mokaba Stadium,Lwandile Mfiki,Match Report,
20,3.0,Tue,2015-08-25,19:30,Black Aces,1–0,Sundowns,8640.0,Mbombela Stadium,Victor Hlungwani,Match Report,
21,3.0,Wed,2015-08-26,19:30,Bloem Celtic,1–0,Orlando Pirates,30000.0,Toyota Stadium,Zolile Mthetho,Match Report,
22,3.0,Wed,2015-08-26,19:30,Ajax Cape Town,2–1,Free State Stars,500.0,Cape Town Stadium,Phelelani Ndaba,Match Report,
23,3.0,Wed,2015-08-26,19:30,SuperSport,0–0,Jomo Cosmos,800.0,Lucas Masterpieces Moripe Stadium,Tshepo Maila,Match Report,
24,3.0,Wed,2015-08-26,19:30,Bidvest Wits,2–0,Maritzburg Utd,2000.0,BidVest Stadium,Daniel Bennett,Match Report,
25,3.0,Wed,2015-08-26,19:30,Platinum Stars,2–0,Golden Arrows,1119.0,Royal Bafokeng Stadium,Nkosinathi Mahono,Match Report,
26,,,,,,,,,,,,
27,4.0,Sat,2015-09-12,15:00,Golden Arrows,2–1,Sundowns,8000.0,King Goodwill Zwelithini Stadium,Victor Gomes,Match Report,
28,4.0,Sat,2015-09-12,15:00,Free State Stars,3–0,Chippa Utd,4500.0,Goble Park Stadium,Kulasande Qongqo,Match Report,
29,4.0,Sat,2015-09-12,18:00,SuperSport,1–4,Kaizer Chiefs,25167.0,Peter Mokaba Stadium,Phillip Tinyani,Match Report,
30,4.0,Sat,2015-09-12,20:15,Maritzburg Utd,0–2,Bloem Celtic,5000.0,Harry Gwala Stadium,Zolile Mthetho,Match Report,
31,4.0,Sat,2015-09-12,20:15,Ajax Cape Town,2–1,Polokwane City,1500.0,Cape Town Stadium,Bafana Mosia,Match Report,
