Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,
2021-08-20,17:00,Sundowns,1–0,AmaZulu,,Loftus Versfeld Stadium,Victor Hlungwani,Match Report,
2021-08-21,15:00,Orlando Pirates,2–2,Stellenbosch FC,,Orlando Stadium,Thando Ndzandzeka,Match Report,
2021-08-21,15:00,Golden Arrows,2–1,Maritzburg Utd,,Sugar Ray Xulu Stadium,Victor Gomes,Match Report,
2021-08-21,15:00,Sekhukhune United FC,0–1,Chippa Utd,,Makhulong Stadium,Philangenkosi Khumalo,Match Report,
2021-08-21,17:00,Baroka FC,2–0,Marumo Gallants FC,,Peter Mokaba Stadium,Facundo Andújar,Match Report,
2021-08-21,17:00,Cape Town City,0–0,SuperSport,,DHL Stadium,Eugene Mdluli,Match Report,
2021-08-22,15:00,Moroka Swallows,1–0,Royal Eagles FC,,Volkswagen Dobsonville Stadium,Qunta Siyabulela,Match Report,
2021-08-22,17:00,TS Galaxy,0–0,Kaizer Chiefs,,Mbombela Stadium,Tshidiso Mkwanazi,Match Report,
2021-08-24,17:00,Marumo Gallants FC,0–0,Orlando Pirates,,Peter Mokaba Stadium,Masixole Bambiso,Match Report,
2021-08-24,17:00,Chippa Utd,0–0,Sundowns,,Nelson Mandela Bay Stadium,Luxolo Badi,Match Report,
2021-08-25,15:00,SuperSport,3–1,Golden Arrows,,Lucas Masterpieces Moripe Stadium,Tshidiso Mkwanazi,Match Report,
2021-08-25,17:00,AmaZulu,0–0,Moroka Swallows,,Hollywoodbets Kings Park Stadium,Jelly Chavani,Match Report,
2021-08-25,17:00,Maritzburg Utd,0–2,Sekhukhune United FC,,Harry Gwala Stadium,Victor Hlungwani,Match Report,
2021-08-25,17:00,Stellenbosch FC,1–0,TS Galaxy,,Danie Craven Stadium,Olani Kwinda,Match Report,
2021-08-25,17:00,Royal Eagles FC,1–2,Cape Town City,,Chatsworth Stadium,Victor Gomes,Match Report,
2021-08-25,17:00,Kaizer Chiefs,2–1,Baroka FC,,Soccer City,Philangenkosi Khumalo,Match Report,
2021-09-11,15:00,TS Galaxy,2–2,Golden Arrows,,Mbombela Stadium,Tshidiso Maruping,Match Report,
2021-09-11,15:00,Orlando Pirates,1–0,Moroka Swallows,,Orlando Stadium,Philangenkosi Khumalo,Match Report,
2021-09-11,17:00,Sekhukhune United FC,1–1,Stellenbosch FC,,Makhulong Stadium,Jelly Chavani,Match Report,
2021-09-11,17:00,Baroka FC,0–1,Maritzburg Utd,,Peter Mokaba Stadium,Abongile Tom,Match Report,
2021-09-12,15:00,Royal Eagles FC,1–0,Chippa Utd,,Chatsworth Stadium,Christopher Kistoor,Match Report,
2021-09-12,17:00,Sundowns,2–0,Kaizer Chiefs,,Loftus Versfeld Stadium,Luxolo Badi,Match Report,
2021-09-14,17:00,AmaZulu,0–0,SuperSport,,Hollywoodbets Kings Park Stadium,Thando Ndzandzeka,Match Report,
2021-09-18,15:00,Chippa Utd,1–3,Orlando Pirates,,Nelson Mandela Bay Stadium,Jelly Chavani,Match Report,
2021-09-18,17:00,Cape Town City,0–3,Stellenbosch FC,,Athlone Stadium,Victor Hlungwani,Match Report,
2021-09-18,17:00,Baroka FC,1–0,Sekhukhune United FC,,Peter Mokaba Stadium,Philangenkosi Khumalo,Match Report,
2021-09-18,17:00,Kaizer Chiefs,1–4,Royal Eagles FC,,Soccer City,Tshidiso Maruping,Match Report,
2021-09-19,15:00,Moroka Swallows,0–3,SuperSport,,Volkswagen Dobsonville Stadium,Tshidiso Mkwanazi,Match Report,
2021-09-19,17:00,Sundowns,3–0,TS Galaxy,,Loftus Versfeld Stadium,Thokozani Mkhize,Match Report,
2021-09-22,15:00,Golden Arrows,2–2,AmaZulu,,Sugar Ray Xulu Stadium,Victor Gomes,Match Report,
2021-09-22,17:00,Maritzburg Utd,1–0,Marumo Gallants FC,,Harry Gwala Stadium,Christopher Kistoor,Match Report,
2021-09-24,17:00,Moroka Swallows,0–0,Cape Town City,,Volkswagen Dobsonville Stadium,Jelly Chavani,Match Report,
2021-09-25,15:00,Sekhukhune United FC,1–1,Golden Arrows,,Emirates Airline Park,Thando Ndzandzeka,Match Report,
2021-09-25,15:00,AmaZulu,1–0,Baroka FC,,Hollywoodbets Kings Park Stadium,Abongile Tom,Match Report,
2021-09-25,15:00,Orlando Pirates,0–2,Sundowns,,Orlando Stadium,Victor Gomes,Match Report,
2021-09-25,17:00,Stellenbosch FC,2–1,Chippa Utd,,Danie Craven Stadium,Eugene Mdluli,Match Report,
2021-09-25,17:00,SuperSport,2–1,Maritzburg Utd,,Lucas Masterpieces Moripe Stadium,Tshidiso Maruping,Match Report,
2021-09-26,15:00,Royal Eagles FC,4–2,TS Galaxy,,Chatsworth Stadium,Luxolo Badi,Match Report,
2021-09-26,17:00,Marumo Gallants FC,0–0,Kaizer Chiefs,,Peter Mokaba Stadium,Philangenkosi Khumalo,Match Report,
2021-10-02,15:30,Chippa Utd,0–0,SuperSport,,Sisa Dukashe Stadium,Victor Hlungwani,Match Report,
2021-10-02,15:30,TS Galaxy,0–1,Sekhukhune United FC,,Mbombela Stadium,Abongile Tom,Match Report,
2021-10-02,15:30,AmaZulu,1–1,Kaizer Chiefs,,Hollywoodbets Kings Park Stadium,Jelly Chavani,Match Report,
2021-10-02,17:00,Baroka FC,1–1,Stellenbosch FC,,Peter Mokaba Stadium,Masixole Bambiso,Match Report,
2021-10-02,17:30,Cape Town City,1–1,Orlando Pirates,,DHL Stadium,Luxolo Badi,Match Report,
2021-10-03,15:30,Royal Eagles FC,2–1,Maritzburg Utd,,Chatsworth Stadium,Victor Gomes,Match Report,
2021-10-03,15:30,Golden Arrows,3–1,Marumo Gallants FC,,Sugar Ray Xulu Stadium,Thabo khabela,Match Report,
2021-10-03,17:30,Sundowns,3–0,Moroka Swallows,,Loftus Versfeld Stadium,Thando Ndzandzeka,Match Report,
2021-10-16,15:30,Sekhukhune United FC,1–0,Cape Town City,,Emirates Airline Park,Thando Ndzandzeka,Match Report,
2021-10-16,17:00,SuperSport,2–0,Baroka FC,,Lucas Masterpieces Moripe Stadium,Christopher Kistoor,Match Report,
2021-10-16,17:30,Kaizer Chiefs,4–0,Chippa Utd,,Soccer City,Tshidiso Maruping,Match Report,
2021-10-17,15:30,Moroka Swallows,1–1,Stellenbosch FC,,Volkswagen Dobsonville Stadium,Eugene Mdluli,Match Report,
2021-10-19,15:30,Marumo Gallants FC,2–2,Royal Eagles FC,,Peter Mokaba Stadium,Masixole Bambiso,Match Report,
2021-10-19,17:30,TS Galaxy,0–1,AmaZulu,,Mbombela Stadium,Victor Hlungwani,Match Report,
2021-10-20,15:30,Golden Arrows,0–1,Sundowns,,Sugar Ray Xulu Stadium,Victor Gomes,Match Report,
2021-10-20,17:30,Maritzburg Utd,0–0,Orlando Pirates,,Harry Gwala Stadium,Abongile Tom,Match Report,
2021-10-23,15:30,Maritzburg Utd,1–0,TS Galaxy,,Harry Gwala Stadium,Olani Kwinda,Match Report,
2021-10-23,17:30,Cape Town City,4–3,Golden Arrows,,DHL Stadium,Masixole Bambiso,Match Report,
2021-10-24,15:30,Chippa Utd,0–0,Moroka Swallows,,Sisa Dukashe Stadium,Victor Hlungwani,Match Report,
2021-10-24,17:30,SuperSport,1–2,Kaizer Chiefs,,Lucas Masterpieces Moripe Stadium,Luxolo Badi,Match Report,
2021-10-27,15:30,Stellenbosch FC,1–0,Marumo Gallants FC,,Danie Craven Stadium,Thokozani Mkhize,Match Report,
2021-10-27,17:30,Sekhukhune United FC,2–0,AmaZulu,,Emirates Airline Park,Masixole Bambiso,Match Report,
2021-10-28,17:30,Orlando Pirates,1–1,Royal Eagles FC,,Orlando Stadium,Luxolo Badi,Match Report,
2021-11-02,15:30,Kaizer Chiefs,0–1,Stellenbosch FC,,Soccer City,Thando Ndzandzeka,Match Report,
2021-11-02,17:00,TS Galaxy,2–1,Baroka FC,,Mbombela Stadium,Thokozani Mkhize,Match Report,
2021-11-02,17:00,Golden Arrows,0–0,Moroka Swallows,,Princess Magogo Stadium,Tshidiso Maruping,Match Report,
2021-11-02,17:30,Royal Eagles FC,2–1,SuperSport,,Chatsworth Stadium,Victor Hlungwani,Match Report,
2021-11-02,17:30,Orlando Pirates,2–1,Sekhukhune United FC,,Orlando Stadium,Eugene Mdluli,Match Report,
2021-11-03,17:00,Cape Town City,1–0,Chippa Utd,,DHL Stadium,Philangenkosi Khumalo,Match Report,
2021-11-03,17:30,Sundowns,1–0,Maritzburg Utd,,Loftus Versfeld Stadium,Abongile Tom,Match Report,
2021-11-04,15:30,AmaZulu,0–0,Marumo Gallants FC,,King Goodwill Zwelithini Stadium,Christopher Kistoor,Match Report,
2021-11-05,17:30,SuperSport,2–1,TS Galaxy,,Lucas Masterpieces Moripe Stadium,Masixole Bambiso,Match Report,
2021-11-06,15:30,Kaizer Chiefs,2–1,Orlando Pirates,,Soccer City,Victor Hlungwani,Match Report,
2021-11-06,17:00,Stellenbosch FC,0–0,Golden Arrows,,Danie Craven Stadium,Qunta Siyabulela,Match Report,
2021-11-07,15:30,Chippa Utd,0–0,Maritzburg Utd,,Nelson Mandela Bay Stadium,Christopher Kistoor,Match Report,
2021-11-07,15:30,Moroka Swallows,0–1,Sekhukhune United FC,,Volkswagen Dobsonville Stadium,Abongile Tom,Match Report,
2021-11-07,15:30,Royal Eagles FC,1–1,Baroka FC,,Chatsworth Stadium,Thando Ndzandzeka,Match Report,
2021-11-07,17:30,Marumo Gallants FC,0–4,Sundowns,,Peter Mokaba Stadium,Philangenkosi Khumalo,Match Report,
2021-11-07,18:00,AmaZulu,2–0,Cape Town City,,Moses Mabhida Stadium,Luxolo Badi,Match Report,
2021-11-20,15:30,Golden Arrows,0–0,Orlando Pirates,,Sugar Ray Xulu Stadium,Tshidiso Maruping,Match Report,
2021-11-20,15:30,Stellenbosch FC,2–2,AmaZulu,,Danie Craven Stadium,Victor Hlungwani,Match Report,
2021-11-20,17:00,Baroka FC,0–1,Chippa Utd,,Peter Mokaba Stadium,Abongile Tom,Match Report,
2021-11-20,17:00,SuperSport,1–2,Marumo Gallants FC,,Lucas Masterpieces Moripe Stadium,Michael Mosemeng,Match Report,
2021-11-20,17:30,Sekhukhune United FC,1–0,Royal Eagles FC,,Emirates Airline Park,Masixole Bambiso,Match Report,
2021-11-20,17:30,Cape Town City,0–0,Sundowns,,DHL Stadium,Eugene Mdluli,Match Report,
2021-11-21,15:30,TS Galaxy,1–0,Moroka Swallows,,Mbombela Stadium,Thando Ndzandzeka,Match Report,
2021-11-21,18:00,Maritzburg Utd,0–1,Kaizer Chiefs,,Harry Gwala Stadium,Luxolo Badi,Match Report,
2021-11-24,17:00,Marumo Gallants FC,0–0,Maritzburg Utd,,Peter Mokaba Stadium,Tshidiso Mkwanazi,Match Report,
2021-11-24,17:30,Kaizer Chiefs,1–1,AmaZulu,,Soccer City,Abongile Tom,Match Report,
2021-11-24,17:30,Stellenbosch FC,0–3,Orlando Pirates,,Danie Craven Stadium,Luxolo Badi,Match Report,
2021-11-24,17:30,Sundowns,2–2,SuperSport,,Loftus Versfeld Stadium,Victor Hlungwani,Match Report,
2021-11-27,15:30,Sundowns,2–0,Sekhukhune United FC,,ABSA Tuks Stadium,Christopher Kistoor,Match Report,
2021-11-27,15:30,TS Galaxy,2–2,Cape Town City,,Mbombela Stadium,Jelly Chavani,Match Report,
2021-11-28,15:30,Golden Arrows,3–2,Baroka FC,,Sugar Ray Xulu Stadium,Thapelo Keshwa,Match Report,
2021-11-28,15:30,Royal Eagles FC,1–0,Stellenbosch FC,,Chatsworth Stadium,Tshidiso Maruping,Match Report,
2021-11-28,15:30,Moroka Swallows,1–3,Kaizer Chiefs,,Volkswagen Dobsonville Stadium,Xola Sitela,Match Report,
2021-11-28,17:30,Maritzburg Utd,1–1,AmaZulu,,Harry Gwala Stadium,Philangenkosi Khumalo,Match Report,
2021-12-01,17:15,Marumo Gallants FC,3–1,TS Galaxy,,Peter Mokaba Stadium,Olani Kwinda,Match Report,
2021-12-02,19:30,Orlando Pirates,0–0,Baroka FC,,Orlando Stadium,Cedrick Muvhali,Match Report,
2021-12-04,15:30,AmaZulu,0–0,Royal Eagles FC,,Hollywoodbets Kings Park Stadium,Victor Hlungwani,Match Report,
2021-12-04,15:30,Chippa Utd,1–2,Golden Arrows,,Nelson Mandela Bay Stadium,Abongile Tom,Match Report,
2021-12-04,15:30,Moroka Swallows,1–1,Maritzburg Utd,,Volkswagen Dobsonville Stadium,Masixole Bambiso,Match Report,
2021-12-04,20:15,Stellenbosch FC,1–1,Sundowns,,Danie Craven Stadium,Philangenkosi Khumalo,Match Report,
2021-12-05,15:30,SuperSport,0–1,Sekhukhune United FC,,Lucas Masterpieces Moripe Stadium,Victor Gomes,Match Report,
2021-12-07,17:30,TS Galaxy,3–1,Chippa Utd,,Mbombela Stadium,Nkululeko Siyeni,Match Report,
2021-12-07,19:30,Cape Town City,3–2,Maritzburg Utd,,DHL Stadium,Xola Sitela,Match Report,
2021-12-08,15:30,Sundowns,3–2,Royal Eagles FC,,Loftus Versfeld Stadium,Thando Ndzandzeka,Match Report,
2021-12-08,17:00,Sekhukhune United FC,0–1,Marumo Gallants FC,,Emirates Airline Park,Tshidiso Maruping,Match Report,
2021-12-08,17:00,Baroka FC,0–1,Moroka Swallows,,Peter Mokaba Stadium,Tshidiso Mkwanazi,Match Report,
2021-12-08,17:00,Stellenbosch FC,0–1,SuperSport,,Danie Craven Stadium,Olani Kwinda,Match Report,
2021-12-08,17:30,AmaZulu,1–1,Orlando Pirates,,Hollywoodbets Kings Park Stadium,Michael Mosemeng,Match Report,
2021-12-11,15:30,Moroka Swallows,0–1,Marumo Gallants FC,,Volkswagen Dobsonville Stadium,Qunta Siyabulela,Match Report,
2021-12-11,15:30,Chippa Utd,1–1,AmaZulu,,Nelson Mandela Bay Stadium,Thapelo Keshwa,Match Report,
2021-12-11,15:30,Baroka FC,0–0,Cape Town City,,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
2021-12-11,17:30,Orlando Pirates,2–0,TS Galaxy,,Orlando Stadium,Philangenkosi Khumalo,Match Report,
