Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,
2018-08-04,15:00,Sundowns,1–1,Kaizer Chiefs,40000.0,Loftus Versfeld Stadium,Victor Hlungwani,Match Report,
2018-08-04,18:00,Cape Town City,2–0,SuperSport,5000.0,Cape Town Stadium,Kulasande Qongqo,Match Report,
2018-08-04,18:00,Black Leopards,1–0,Polokwane City,3000.0,Peter Mokaba Stadium,Victor Gomes,Match Report,
2018-08-04,18:00,Bidvest Wits,3–0,Free State Stars,1500.0,BidVest Stadium,Eugene Mdluli,Match Report,
2018-08-04,20:15,AmaZulu,1–0,Baroka FC,5000.0,King Goodwill Zwelithini Stadium,Daniel Job,Match Report,
2018-08-04,20:15,Orlando Pirates,1–1,Highlands Park,15000.0,Orlando Stadium,Thando Ndzandzeka,Match Report,
2018-08-05,15:00,Bloem Celtic,2–0,Chippa Utd,15000.0,Dr. Petrus Molemela Stadium,Phelelani Ndaba,Match Report,
2018-08-05,15:00,Maritzburg Utd,0–2,Golden Arrows,4300.0,Harry Gwala Stadium,Phillip Tinyani,Match Report,
2018-08-07,19:30,Polokwane City,0–2,Sundowns,8960.0,Peter Mokaba Stadium,Shumani Tinyani,Match Report,
2018-08-07,19:30,Kaizer Chiefs,1–3,Bidvest Wits,7300.0,Soccer City,Thando Ndzandzeka,Match Report,
2018-08-08,19:30,Golden Arrows,0–2,Bloem Celtic,500.0,Princess Magogo Stadium,Victor Hlungwani,Match Report,
2018-08-08,19:30,Chippa Utd,0–1,Orlando Pirates,13450.0,Nelson Mandela Bay Stadium,Victor Gomes,Match Report,
2018-08-08,19:30,Baroka FC,2–1,Cape Town City,3000.0,Peter Mokaba Stadium,Khulekani Thusi,Match Report,
2018-08-08,19:30,SuperSport,1–0,AmaZulu,3000.0,Lucas Masterpieces Moripe Stadium,Abongile Tom,Match Report,
2018-08-08,19:30,Free State Stars,2–1,Maritzburg Utd,500.0,Goble Park Stadium,Daniel Job,Match Report,
2018-08-09,15:00,Highlands Park,2–2,Black Leopards,9000.0,Makhulong Stadium,Eugene Mdluli,Match Report,
2018-08-14,19:30,Baroka FC,1–1,Kaizer Chiefs,15943.0,Peter Mokaba Stadium,Phelelani Ndaba,Match Report,
2018-08-15,19:30,Orlando Pirates,0–1,Bidvest Wits,6000.0,Orlando Stadium,Kulasande Qongqo,Match Report,
2018-08-17,20:00,Maritzburg Utd,0–0,Kaizer Chiefs,12000.0,Harry Gwala Stadium,Luxolo Badi,Match Report,
2018-08-18,15:00,Polokwane City,2–0,Baroka FC,8345.0,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
2018-08-18,18:00,Cape Town City,0–0,Golden Arrows,2500.0,Cape Town Stadium,Olani Qwinda,Match Report,
2018-08-18,20:15,Chippa Utd,2–2,Black Leopards,7339.0,Sisa Dukashe Stadium,Victor Hlungwani,Match Report,
2018-08-18,20:15,Bidvest Wits,0–1,SuperSport,1000.0,BidVest Stadium,Phelelani Ndaba,Match Report,
2018-08-19,15:00,AmaZulu,2–1,Free State Stars,3000.0,King Goodwill Zwelithini Stadium,Kulasande Qongqo,Match Report,
2018-08-19,15:00,Bloem Celtic,1–0,Orlando Pirates,35000.0,Toyota Stadium,Daniel Job,Match Report,
2018-08-22,19:30,Sundowns,0–0,Highlands Park,6000.0,Loftus Versfeld Stadium,Phelelani Ndaba,Match Report,
2018-08-28,19:30,Black Leopards,1–2,Orlando Pirates,9642.0,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
2018-08-29,19:30,Golden Arrows,1–1,Polokwane City,500.0,Princess Magogo Stadium,Kulasande Qongqo,Match Report,
2018-08-29,19:30,SuperSport,2–1,Chippa Utd,1000.0,Lucas Masterpieces Moripe Stadium,Khulekani Thusi,Match Report,
2018-08-29,19:30,Bidvest Wits,3–0,AmaZulu,1050.0,BidVest Stadium,Phillip Tinyani,Match Report,
2018-08-29,19:30,Kaizer Chiefs,2–2,Bloem Celtic,2000.0,Soccer City,Olani Kwinda,Match Report,
2018-08-29,19:30,Baroka FC,1–1,Highlands Park,3820.0,Peter Mokaba Stadium,Eugene Mdluli,Match Report,
2018-08-29,19:30,Free State Stars,2–2,Cape Town City,600.0,Goble Park Stadium,Jelly Chavani,Match Report,
2018-09-15,15:00,Chippa Utd,1–0,Baroka FC,4201.0,Sisa Dukashe Stadium,Daniel Job,Match Report,
2018-09-15,15:00,Cape Town City,1–4,Kaizer Chiefs,35000.0,Cape Town Stadium,Thando Ndzandzeka,Match Report,
2018-09-15,18:00,Maritzburg Utd,0–0,Bidvest Wits,7000.0,Harry Gwala Stadium,Kulasande Qongqo,Match Report,
2018-09-15,20:15,Polokwane City,1–0,Free State Stars,4000.0,Pietersburg Stadium,Thokozani Mkhize,Match Report,
2018-09-15,20:15,Orlando Pirates,3–1,SuperSport,13000.0,Orlando Stadium,Luxolo Badi,Match Report,
2018-09-16,15:00,AmaZulu,3–3,Sundowns,12000.0,King Goodwill Zwelithini Stadium,Victor Gomes,Match Report,
2018-09-16,15:00,Black Leopards,0–1,Bloem Celtic,18000.0,Thohoyandou Stadium,Victor Hlungwani,Match Report,
2018-09-16,15:00,Highlands Park,2–1,Golden Arrows,2000.0,Makhulong Stadium,Olani Kwinda,Match Report,
2018-09-18,19:30,Free State Stars,0–2,Kaizer Chiefs,5000.0,Goble Park Stadium,Eugene Mdluli,Match Report,
2018-09-19,19:30,Golden Arrows,0–1,Sundowns,5000.0,Princess Magogo Stadium,Kulasande Qongqo,Match Report,
2018-09-19,19:30,Orlando Pirates,2–2,Cape Town City,7000.0,Orlando Stadium,Daniel Job,Match Report,
2018-09-21,20:00,Bidvest Wits,0–1,Polokwane City,2500.0,BidVest Stadium,Abongile Tom,Match Report,
2018-09-22,15:00,Baroka FC,1–2,Orlando Pirates,8611.0,Peter Mokaba Stadium,Kulasande Qongqo,Match Report,
2018-09-22,15:00,Golden Arrows,0–0,Chippa Utd,500.0,Princess Magogo Stadium,Luxolo Badi,Match Report,
2018-09-22,18:00,Kaizer Chiefs,2–0,AmaZulu,13000.0,Soccer City,Olani Kwinda,Match Report,
2018-09-22,20:15,Free State Stars,1–0,Highlands Park,300.0,Goble Park Stadium,Phelelani Ndaba,Match Report,
2018-09-23,15:00,Bloem Celtic,0–1,Maritzburg Utd,10000.0,Dr. Petrus Molemela Stadium,Cedrick Muvhali,Match Report,
2018-09-23,15:00,SuperSport,4–0,Black Leopards,3000.0,Lucas Masterpieces Moripe Stadium,Masixole Bambiso,Match Report,
2018-09-26,19:30,Baroka FC,0–0,Free State Stars,4550.0,Peter Mokaba Stadium,Phillip Tinyani,Match Report,
2018-10-02,19:30,AmaZulu,0–0,Maritzburg Utd,5000.0,King Goodwill Zwelithini Stadium,Phelelani Ndaba,Match Report,
2018-10-02,19:30,Cape Town City,0–2,Bidvest Wits,7500.0,Cape Town Stadium,Luxolo Badi,Match Report,
2018-10-02,19:30,Highlands Park,0–0,Kaizer Chiefs,13000.0,Makhulong Stadium,Victor Gomes,Match Report,
2018-10-02,19:30,Polokwane City,1–1,SuperSport,3000.0,Pietersburg Stadium,Kulasande Qongqo,Match Report,
2018-10-03,19:30,Chippa Utd,1–0,Free State Stars,3664.0,Nelson Mandela Bay Stadium,Thando Ndzandzeka,Match Report,
2018-10-03,19:30,Bloem Celtic,0–0,Sundowns,16000.0,Dr. Petrus Molemela Stadium,Daniel Job,Match Report,
2018-10-03,19:30,Orlando Pirates,0–0,Golden Arrows,6000.0,Orlando Stadium,Phillip Tinyani,Match Report,
2018-10-03,19:30,Black Leopards,1–0,Baroka FC,11000.0,Thohoyandou Stadium,Eugene Mdluli,Match Report,
2018-10-05,20:00,Maritzburg Utd,0–0,Cape Town City,7400.0,Harry Gwala Stadium,Victor Gomes,Match Report,
2018-10-06,15:30,Free State Stars,2–0,Bloem Celtic,5000.0,Goble Park Stadium,Khulekani Thusi,Match Report,
2018-10-06,18:00,Kaizer Chiefs,0–1,Polokwane City,,Moses Mabhida Stadium,Abongile Tom,Match Report,
2018-10-06,20:15,Highlands Park,2–1,Chippa Utd,3000.0,Makhulong Stadium,Phelelani Ndaba,Match Report,
2018-10-06,20:15,AmaZulu,1–1,Orlando Pirates,12000.0,King Goodwill Zwelithini Stadium,Thando Ndzandzeka,Match Report,
