Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,
2018-10-07,15:30,Golden Arrows,1–0,Black Leopards,700.0,Princess Magogo Stadium,Michael Mosemeng,Match Report,
2018-10-07,15:30,Sundowns,1–1,Bidvest Wits,4000.0,Lucas Masterpieces Moripe Stadium,Moegamat Naasif Julius,Match Report,
2018-10-07,15:30,Baroka FC,0–0,SuperSport,3711.0,Peter Mokaba Stadium,Thokozani Mkhize,Match Report,
2018-10-24,19:30,Free State Stars,1–1,Golden Arrows,1300.0,Goble Park Stadium,Thando Ndzandzeka,Match Report,
2018-10-26,20:00,Bidvest Wits,1–0,Highlands Park,3000.0,BidVest Stadium,Daniel Bennett,Match Report,
2018-10-27,15:30,Orlando Pirates,2–1,Kaizer Chiefs,82000.0,Soccer City,Daniel Job,Match Report,
2018-10-27,15:30,Polokwane City,1–0,Maritzburg Utd,2500.0,Pietersburg Stadium,Moegamat Naasif Julius,Match Report,
2018-10-27,20:15,Chippa Utd,0–1,Sundowns,13900.0,Sisa Dukashe Stadium,Thokozani Mkhize,Match Report,
2018-10-27,20:15,Cape Town City,3–0,AmaZulu,5000.0,Cape Town Stadium,Shumani Tinyani,Match Report,
2018-10-28,15:30,Black Leopards,1–1,Free State Stars,16000.0,Thohoyandou Stadium,Khulekani Thusi,Match Report,
2018-10-28,15:30,Bloem Celtic,1–0,Baroka FC,10000.0,Dr. Petrus Molemela Stadium,Philangenkosi Khumalo,Match Report,
2018-10-28,15:30,SuperSport,1–1,Golden Arrows,1945.0,Mbombela Stadium,Kulasande Qongqo,Match Report,
2018-11-06,19:30,Polokwane City,1–2,Orlando Pirates,7200.0,Peter Mokaba Stadium,Phelelani Ndaba,Match Report,
2018-11-07,19:30,Sundowns,3–1,Free State Stars,3000.0,Loftus Versfeld Stadium,Victor Hlungwani,Match Report,
2018-11-07,19:30,Kaizer Chiefs,1–0,Black Leopards,7000.0,Soccer City,Phillip Tinyani,Match Report,
2018-11-09,20:00,Maritzburg Utd,2–2,Highlands Park,3700.0,Harry Gwala Stadium,Daniel Job,Match Report,
2018-11-10,15:30,Sundowns,0–0,Orlando Pirates,33000.0,Loftus Versfeld Stadium,Daniel Bennett,Match Report,
2018-11-10,15:30,Golden Arrows,1–2,Baroka FC,500.0,Princess Magogo Stadium,Luxolo Badi,Match Report,
2018-11-10,18:00,Kaizer Chiefs,0–0,Chippa Utd,,Moses Mabhida Stadium,Victor Hlungwani,Match Report,
2018-11-10,20:15,Bidvest Wits,1–2,Bloem Celtic,2000.0,BidVest Stadium,Victor Gomes,Match Report,
2018-11-10,20:15,Free State Stars,0–1,SuperSport,2000.0,Goble Park Stadium,Kulasande Qongqo,Match Report,
2018-11-11,15:30,AmaZulu,0–0,Polokwane City,5000.0,King Goodwill Zwelithini Stadium,Moegamat Naasif Julius,Match Report,
2018-11-11,15:30,Cape Town City,3–1,Black Leopards,2500.0,Cape Town Stadium,Eugene Mdluli,Match Report,
2018-11-27,19:30,Highlands Park,1–2,AmaZulu,2700.0,Makhulong Stadium,Daniel Job,Match Report,
2018-11-27,19:30,Maritzburg Utd,0–0,Chippa Utd,6300.0,Harry Gwala Stadium,Moegamat Naasif Julius,Match Report,
2018-11-27,19:30,Polokwane City,1–2,Cape Town City,2500.0,Pietersburg Stadium,Victor Gomes,Match Report,
2018-11-28,19:30,Bloem Celtic,0–0,SuperSport,10500.0,Dr. Petrus Molemela Stadium,Luxolo Badi,Match Report,
2018-11-30,20:00,Chippa Utd,0–1,AmaZulu,2210.0,Nelson Mandela Bay Stadium,Phillip Tinyani,Match Report,
2018-12-01,15:30,Highlands Park,2–0,Cape Town City,1200.0,Makhulong Stadium,Daniel Bennett,Match Report,
2018-12-01,18:00,Golden Arrows,2–1,Kaizer Chiefs,6000.0,Princess Magogo Stadium,Daniel Job,Match Report,
2018-12-01,20:15,Black Leopards,0–1,Bidvest Wits,50000.0,Thohoyandou Stadium,Luxolo Badi,Match Report,
2018-12-01,20:15,Orlando Pirates,0–0,Maritzburg Utd,5000.0,Orlando Stadium,Victor Hlungwani,Match Report,
2018-12-02,15:30,SuperSport,1–2,Sundowns,12000.0,Lucas Masterpieces Moripe Stadium,Kulasande Qongqo,Match Report,
2018-12-02,15:30,Bloem Celtic,1–2,Polokwane City,14000.0,Dr. Petrus Molemela Stadium,Phelelani Ndaba,Match Report,
2018-12-11,19:30,Polokwane City,2–2,Highlands Park,2500.0,Pietersburg Stadium,Moegamat Naasif Julius,Match Report,
2018-12-11,19:30,Cape Town City,1–1,Chippa Utd,3000.0,Athlone Stadium,Daniel Job,Match Report,
2018-12-11,19:30,Sundowns,0–0,Baroka FC,5000.0,Lucas Masterpieces Moripe Stadium,Shumani Tinyani,Match Report,
2018-12-11,19:30,Free State Stars,1–3,Orlando Pirates,4900.0,Goble Park Stadium,Daniel Bennett,Match Report,
2018-12-12,19:30,AmaZulu,3–0,Bloem Celtic,6000.0,King Goodwill Zwelithini Stadium,Kulasande Qongqo,Match Report,
2018-12-12,19:30,Bidvest Wits,2–2,Golden Arrows,2000.0,BidVest Stadium,Abongile Tom,Match Report,
2018-12-12,19:30,Kaizer Chiefs,1–0,SuperSport,16000.0,Mbombela Stadium,Victor Hlungwani,Match Report,
2018-12-12,19:30,Maritzburg Utd,1–1,Black Leopards,4600.0,Harry Gwala Stadium,Tshidiso Mkwanazi,Match Report,
2018-12-14,20:00,Chippa Utd,2–2,Polokwane City,2667.0,Nelson Mandela Bay Stadium,Eugene Mdluli,Match Report,
2018-12-15,15:30,Black Leopards,3–1,AmaZulu,5600.0,Thohoyandou Stadium,Daniel Bennett,Match Report,
2018-12-15,18:00,SuperSport,1–0,Maritzburg Utd,1394.0,Mbombela Stadium,Olani Kwinda,Match Report,
2018-12-16,15:30,Baroka FC,1–2,Bidvest Wits,1000.0,Peter Mokaba Stadium,Khulekani Thusi,Match Report,
2018-12-17,15:30,Bloem Celtic,1–2,Highlands Park,9500.0,Dr. Petrus Molemela Stadium,Victor Gomes,Match Report,
2018-12-21,20:00,Bidvest Wits,2–0,Chippa Utd,1500.0,BidVest Stadium,Thokozani Mkhize,Match Report,
2018-12-22,15:30,AmaZulu,2–0,Golden Arrows,5000.0,King Goodwill Zwelithini Stadium,Victor Gomes,Match Report,
2018-12-22,18:00,Cape Town City,3–2,Bloem Celtic,2500.0,Cape Town Stadium,Phillip Tinyani,Match Report,
2018-12-22,20:15,Maritzburg Utd,0–1,Baroka FC,4300.0,Harry Gwala Stadium,Moegamat Naasif Julius,Match Report,
2018-12-23,15:30,Highlands Park,1–1,SuperSport,5600.0,Makhulong Stadium,Daniel Bennett,Match Report,
2019-01-04,20:00,Chippa Utd,0–1,Bloem Celtic,7335.0,Sisa Dukashe Stadium,Phillip Tinyani,Match Report,
2019-01-05,15:30,Kaizer Chiefs,1–2,Sundowns,46000.0,Soccer City,Victor Hlungwani,Match Report,
2019-01-05,15:30,Polokwane City,3–2,AmaZulu,1200.0,Peter Mokaba Stadium,Moegamat Naasif Julius,Match Report,
2019-01-05,18:00,Free State Stars,1–2,Bidvest Wits,3000.0,Goble Park Stadium,Luxolo Badi,Match Report,
2019-01-05,20:15,Highlands Park,2–2,Orlando Pirates,11000.0,Makhulong Stadium,Thando Ndzandzeka,Match Report,
2019-01-05,20:30,SuperSport,0–1,Cape Town City,2000.0,Lucas Masterpieces Moripe Stadium,Kulasande Qongqo,Match Report,
2019-01-06,15:30,Golden Arrows,2–0,Maritzburg Utd,1500.0,Sugar Ray Xulu Stadium,Eugene Mdluli,Match Report,
2019-01-06,15:30,Baroka FC,1–2,Black Leopards,3500.0,Peter Mokaba Stadium,Khulekani Thusi,Match Report,
2019-01-08,19:30,Orlando Pirates,4–2,Chippa Utd,2000.0,Orlando Stadium,Moegamat Naasif Julius,Match Report,
2019-01-09,19:30,Maritzburg Utd,1–2,Free State Stars,3800.0,Harry Gwala Stadium,Abongile Tom,Match Report,
2019-01-09,19:30,Bidvest Wits,0–2,Kaizer Chiefs,5000.0,BidVest Stadium,Victor Gomes,Match Report,
2019-01-12,15:30,Black Leopards,2–0,SuperSport,13000.0,Thohoyandou Stadium,Thando Ndzandzeka,Match Report,
2019-01-12,20:15,Cape Town City,2–2,Baroka FC,4000.0,Cape Town Stadium,Philangenkosi Khumalo,Match Report,
2019-01-12,20:15,AmaZulu,0–0,Highlands Park,2500.0,King Goodwill Zwelithini Stadium,Victor Hlungwani,Match Report,
2019-01-13,15:30,Bloem Celtic,1–1,Golden Arrows,1000.0,Dr. Petrus Molemela Stadium,Cedrick Muvhali,Match Report,
2019-01-16,19:30,Sundowns,1–0,Maritzburg Utd,8000.0,Loftus Versfeld Stadium,Victor Gomes,Match Report,
2019-01-16,19:30,AmaZulu,2–3,Kaizer Chiefs,12000.0,King Goodwill Zwelithini Stadium,Phillip Tinyani,Match Report,
2019-01-16,19:30,Cape Town City,5–0,Free State Stars,3000.0,Cape Town Stadium,Kulasande Qongqo,Match Report,
2019-01-19,15:30,Chippa Utd,2–0,Maritzburg Utd,1849.0,Nelson Mandela Bay Stadium,Victor Hlungwani,Match Report,
2019-01-19,20:15,Black Leopards,1–1,Golden Arrows,7000.0,Thohoyandou Stadium,Qunta Siyabulela,Match Report,
2019-01-20,15:30,Polokwane City,3–3,Bidvest Wits,3000.0,Peter Mokaba Stadium,Shumani Tinyani,Match Report,
2019-01-20,15:30,SuperSport,2–1,Bloem Celtic,2000.0,Lucas Masterpieces Moripe Stadium,Moegamat Naasif Julius,Match Report,
2019-01-22,19:30,Highlands Park,1–2,Sundowns,9000.0,Makhulong Stadium,Moegamat Naasif Julius,Match Report,
2019-01-22,19:30,Orlando Pirates,1–1,Baroka FC,5000.0,Orlando Stadium,Abongile Tom,Match Report,
2019-01-29,19:30,Sundowns,0–2,AmaZulu,3000.0,Loftus Versfeld Stadium,Cedrick Muvhali,Match Report,
2019-01-30,19:30,Kaizer Chiefs,0–1,Cape Town City,6000.0,Soccer City,Khulekani Thusi,Match Report,
2019-02-01,20:00,Bidvest Wits,1–0,Maritzburg Utd,500.0,BidVest Stadium,Daniel Bennett,Match Report,
2019-02-02,15:30,Golden Arrows,2–1,Highlands Park,3000.0,Sugar Ray Xulu Stadium,Phillip Tinyani,Match Report,
2019-02-03,15:30,Bloem Celtic,3–0,Black Leopards,4500.0,Dr. Petrus Molemela Stadium,Cedrick Muvhali,Match Report,
2019-02-03,15:30,Baroka FC,1–1,Chippa Utd,1400.0,Pietersburg Stadium,Moegamat Naasif Julius,Match Report,
2019-02-06,19:30,Sundowns,3–0,Black Leopards,4000.0,Loftus Versfeld Stadium,Daniel Bennett,Match Report,
2019-02-08,20:00,Maritzburg Utd,3–1,Polokwane City,8700.0,Harry Gwala Stadium,Michael Mosemeng,Match Report,
2019-02-09,15:30,Highlands Park,2–1,Bidvest Wits,3000.0,Makhulong Stadium,Khulekani Thusi,Match Report,
2019-02-09,15:30,Kaizer Chiefs,1–1,Orlando Pirates,86000.0,Soccer City,Abongile Tom,Match Report,
2019-02-09,18:00,Free State Stars,0–2,Chippa Utd,600.0,Goble Park Stadium,Daniel Bennett,Match Report,
2019-02-09,20:15,AmaZulu,1–0,Cape Town City,5000.0,King Goodwill Zwelithini Stadium,Tshidiso Maruping,Match Report,
2019-02-10,15:30,Baroka FC,2–2,Bloem Celtic,3679.0,Peter Mokaba Stadium,Qunta Siyabulela,Match Report,
2019-02-10,15:30,Golden Arrows,2–3,SuperSport,3500.0,Sugar Ray Xulu Stadium,Olani Kwinda,Match Report,
2019-02-19,19:30,Sundowns,1–1,Polokwane City,2500.0,Loftus Versfeld Stadium,Abongile Tom,Match Report,
2019-02-20,19:30,SuperSport,1–0,Orlando Pirates,13787.0,Mbombela Stadium,Victor Hlungwani,Match Report,
2019-02-22,20:00,Chippa Utd,1–1,Golden Arrows,5116.0,Nelson Mandela Bay Stadium,Moegamat Naasif Julius,Match Report,
2019-02-23,15:30,Cape Town City,3–2,Maritzburg Utd,2500.0,Athlone Stadium,Kulasande Qongqo,Match Report,
2019-02-23,15:30,Polokwane City,1–1,Kaizer Chiefs,25000.0,Peter Mokaba Stadium,Khulekani Thusi,Match Report,
2019-02-23,18:00,Bidvest Wits,1–1,Sundowns,5000.0,BidVest Stadium,Victor Hlungwani,Match Report,
2019-02-23,20:15,SuperSport,1–2,Baroka FC,3000.0,Lucas Masterpieces Moripe Stadium,Thokozani Mkhize,Match Report,
2019-02-23,20:15,Orlando Pirates,4–1,AmaZulu,9000.0,Orlando Stadium,Phillip Tinyani,Match Report,
2019-02-24,15:30,Black Leopards,0–0,Highlands Park,11000.0,Thohoyandou Stadium,Abongile Tom,Match Report,
2019-02-24,15:30,Bloem Celtic,2–3,Free State Stars,5500.0,Dr. Petrus Molemela Stadium,Phelelani Ndaba,Match Report,
2019-02-27,19:30,Sundowns,3–2,Cape Town City,3400.0,Loftus Versfeld Stadium,Olani Qwinda,Match Report,
2019-03-01,20:00,Maritzburg Utd,2–1,AmaZulu,11600.0,Harry Gwala Stadium,Abongile Tom,Match Report,
2019-03-02,15:30,Sundowns,0–0,Bloem Celtic,4000.0,Loftus Versfeld Stadium,Daniel Bennett,Match Report,
2019-03-02,18:00,Kaizer Chiefs,3–2,Highlands Park,14112.0,Moses Mabhida Stadium,Jelly Chavani,Match Report,
2019-03-02,18:00,Free State Stars,2–2,Black Leopards,1100.0,Goble Park Stadium,Thokozani Mkhize,Match Report,
2019-03-02,20:15,Bidvest Wits,2–3,Cape Town City,2000.0,BidVest Stadium,Eugene Mdluli,Match Report,
2019-03-02,20:15,Golden Arrows,0–1,Orlando Pirates,3400.0,Sugar Ray Xulu Stadium,Phillip Tinyani,Match Report,
2019-03-03,15:30,Chippa Utd,0–1,SuperSport,7813.0,Sisa Dukashe Stadium,Cedrick Muvhali,Match Report,
2019-03-03,15:30,Baroka FC,1–3,Polokwane City,1269.0,Peter Mokaba Stadium,Khulekani Thusi,Match Report,
2019-03-05,19:30,Orlando Pirates,1–1,Bloem Celtic,6000.0,Orlando Stadium,Kulasande Qongqo,Match Report,
2019-03-05,19:30,Cape Town City,2–1,Sundowns,8600.0,Athlone Stadium,Thando Ndzandzeka,Match Report,
2019-03-06,19:30,Free State Stars,1–1,Polokwane City,1050.0,Goble Park Stadium,Jelly Chavani,Match Report,
2019-03-09,15:30,Highlands Park,2–1,Baroka FC,6000.0,Makhulong Stadium,Cedrick Muvhali,Match Report,
2019-03-09,15:30,Polokwane City,2–0,Golden Arrows,1100.0,Peter Mokaba Stadium,Kulasande Qongqo,Match Report,
2019-03-09,18:00,Kaizer Chiefs,1–0,Maritzburg Utd,5000.0,Soccer City,Thando Ndzandzeka,Match Report,
2019-03-09,20:15,AmaZulu,2–0,Bidvest Wits,4000.0,King Goodwill Zwelithini Stadium,Moegamat Naasif Julius,Match Report,
2019-03-10,15:30,SuperSport,1–0,Free State Stars,2000.0,Lucas Masterpieces Moripe Stadium,Eugene Mdluli,Match Report,
2019-03-10,15:30,Black Leopards,3–2,Chippa Utd,8000.0,Thohoyandou Stadium,Abongile Tom,Match Report,
2019-03-12,19:30,Maritzburg Utd,1–2,Sundowns,9500.0,Harry Gwala Stadium,Victor Gomes,Match Report,
2019-03-13,19:30,Baroka FC,0–1,Golden Arrows,1632.0,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
2019-03-15,20:00,SuperSport,1–1,Kaizer Chiefs,27461.0,Mbombela Stadium,Kulasande Qongqo,Match Report,
2019-03-15,20:00,Bloem Celtic,2–4,Bidvest Wits,11500.0,Dr. Petrus Molemela Stadium,Cedrick Muvhali,Match Report,
2019-03-15,20:00,Cape Town City,0–0,Polokwane City,6000.0,Cape Town Stadium,Michael Mosemeng,Match Report,
2019-03-16,15:30,Free State Stars,4–1,AmaZulu,3500.0,Goble Park Stadium,Victor Hlungwani,Match Report,
2019-03-17,15:30,Chippa Utd,1–1,Highlands Park,4771.0,Nelson Mandela Bay Stadium,Phillip Tinyani,Match Report,
2019-04-01,19:30,Orlando Pirates,0–0,Sundowns,32000.0,Orlando Stadium,Abongile Tom,Match Report,
2019-04-05,20:00,Maritzburg Utd,2–1,Bloem Celtic,5400.0,Harry Gwala Stadium,Olani Kwinda,Match Report,
2019-04-06,15:00,Golden Arrows,1–0,Cape Town City,5000.0,Sugar Ray Xulu Stadium,Victor Gomes,Match Report,
2019-04-06,15:00,Bidvest Wits,0–1,Orlando Pirates,5000.0,BidVest Stadium,Victor Hlungwani,Match Report,
2019-04-06,18:00,Kaizer Chiefs,0–1,Baroka FC,8000.0,Soccer City,Cedrick Muvhali,Match Report,
2019-04-06,20:15,AmaZulu,0–1,Chippa Utd,5000.0,King Goodwill Zwelithini Stadium,Kulasande Qongqo,Match Report,
2019-04-07,15:00,Polokwane City,3–1,Black Leopards,7439.0,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
2019-04-10,19:30,Orlando Pirates,2–0,Black Leopards,13000.0,Orlando Stadium,Victor Gomes,Match Report,
2019-04-12,20:00,Chippa Utd,0–1,Bidvest Wits,6433.0,Nelson Mandela Bay Stadium,Eugene Mdluli,Match Report,
2019-04-13,15:00,Highlands Park,1–0,Maritzburg Utd,2000.0,Makhulong Stadium,Luxolo Badi,Match Report,
2019-04-13,15:00,Black Leopards,1–1,Kaizer Chiefs,18000.0,Thohoyandou Stadium,Khulekani Thusi,Match Report,
2019-04-13,20:15,Orlando Pirates,2–1,Free State Stars,20000.0,Orlando Stadium,Thando Ndzandzeka,Match Report,
2019-04-13,20:15,SuperSport,0–0,Polokwane City,1500.0,Lucas Masterpieces Moripe Stadium,Phelelani Ndaba,Match Report,
2019-04-14,15:00,Golden Arrows,1–1,AmaZulu,5000.0,Sugar Ray Xulu Stadium,Thokozani Mkhize,Match Report,
2019-04-14,15:00,Bloem Celtic,0–3,Cape Town City,6000.0,Dr. Petrus Molemela Stadium,Victor Hlungwani,Match Report,Match awarded to Cape Town City
2019-04-17,19:30,Sundowns,0–2,SuperSport,3500.0,Loftus Versfeld Stadium,Olani Qwinda,Match Report,
2019-04-17,19:30,Highlands Park,1–1,Free State Stars,1300.0,Makhulong Stadium,Cedrick Muvhali,Match Report,
2019-04-20,15:00,Baroka FC,1–2,Sundowns,11311.0,Peter Mokaba Stadium,Victor Hlungwani,Match Report,
2019-04-23,15:00,Sundowns,3–2,Chippa Utd,3000.0,Loftus Versfeld Stadium,Victor Gomes,Match Report,
2019-04-23,19:30,Cape Town City,1–1,Highlands Park,2500.0,Cape Town Stadium,Eugene Mdluli,Match Report,
2019-04-23,19:30,Kaizer Chiefs,1–1,Golden Arrows,1200.0,Soccer City,Kulasande Qongqo,Match Report,
2019-04-24,18:00,Free State Stars,2–2,Baroka FC,1200.0,Goble Park Stadium,Phelelani Ndaba,Match Report,
2019-04-24,19:30,Maritzburg Utd,0–1,Orlando Pirates,11600.0,Harry Gwala Stadium,Abongile Tom,Match Report,
2019-04-24,19:30,AmaZulu,2–0,SuperSport,2000.0,King Goodwill Zwelithini Stadium,Jelly Chavani,Match Report,
2019-04-24,19:30,Polokwane City,1–2,Bloem Celtic,1500.0,Pietersburg Stadium,Akhona Makhalima,Match Report,
2019-04-24,19:30,Bidvest Wits,3–1,Black Leopards,2500.0,BidVest Stadium,Cedrick Muvhali,Match Report,
2019-04-26,20:00,Chippa Utd,0–2,Cape Town City,6913.0,Nelson Mandela Bay Stadium,Victor Hlungwani,Match Report,
