Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,
2022-09-06,17:00,Royal Eagles FC,0–1,Richards Bay FC,,Chatsworth Stadium,Qunta Siyabulela,Match Report,
2022-09-06,19:30,Cape Town City,0–0,Sekhukhune United FC,,DHL Stadium,Cedrick Muvhali,Match Report,
2022-09-07,19:30,Chippa Utd,0–1,Sundowns,,Nelson Mandela Bay Stadium,Thabo khabela,Match Report,
2022-09-09,19:30,Maritzburg Utd,1–2,SuperSport,,Harry Gwala Stadium,Moreki Lekwape,Match Report,
2022-09-10,15:00,Moroka Swallows,1–2,Stellenbosch FC,,BidVest Stadium,Olani Kwinda,Match Report,
2022-09-10,15:00,AmaZulu,1–2,Chippa Utd,,Moses Mabhida Stadium,Joseph Makhubo,Match Report,
2022-09-10,17:30,Orlando Pirates,2–0,TS Galaxy,,Orlando Stadium,Jelly Chavani,Match Report,
2022-09-10,20:00,Sundowns,2–1,Golden Arrows,,ABSA Tuks Stadium,Masixole Bambiso,Match Report,
2022-09-11,15:00,Marumo Gallants FC,1–1,Kaizer Chiefs,,Peter Mokaba Stadium,Thokozani Mkhize,Match Report,
2022-09-17,15:00,Chippa Utd,1–0,Marumo Gallants FC,,Royal Bafokeng Stadium,Masixole Bambiso,Match Report,
2022-09-17,15:00,Golden Arrows,4–0,Moroka Swallows,,Princess Magogo Stadium,Olani Kwinda,Match Report,
2022-09-17,17:30,Sekhukhune United FC,1–1,Stellenbosch FC,,Peter Mokaba Stadium,Victor Gomes,Match Report,
2022-09-17,20:00,Kaizer Chiefs,2–1,SuperSport,,FNB Stadium,Luxolo Badi,Match Report,
2022-09-18,15:00,Sundowns,1–0,AmaZulu,,Loftus Versfeld Stadium,Xola Sitela,Match Report,
2022-09-18,17:30,Richards Bay FC,0–0,TS Galaxy,,King Goodwill Zwelithini Stadium,Cedrick Muvhali,Match Report,
2022-10-04,17:00,Sekhukhune United FC,2–0,Orlando Pirates,,Peter Mokaba Stadium,Cedrick Muvhali,Match Report,
2022-10-04,19:30,Golden Arrows,1–1,Cape Town City,,Princess Magogo Stadium,Thabo khabela,Match Report,
2022-10-04,19:30,TS Galaxy,0–1,Marumo Gallants FC,,Mbombela Stadium,Moreki Lekwape,Match Report,
