,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
38,5.0,Wed,2017-09-20,19:30,Platinum Stars,0–1,Golden Arrows,1000.0,Royal Bafokeng Stadium,Phillip Tinyani,Match Report,
39,5.0,Wed,2017-09-20,19:30,Bloem Celtic,0–2,Baroka FC,8000.0,Toyota Stadium,Cedrick Muvhali,Match Report,
40,5.0,Wed,2017-09-20,19:30,Maritzburg Utd,0–2,Kaizer Chiefs,13000.0,Harry Gwala Stadium,Daniel Bennett,Match Report,
41,,,,,,,,,,,,
42,6.0,Fri,2017-09-22,20:00,Cape Town City,1–0,Polokwane City,1500.0,Cape Town Stadium,Cedrick Muvhali,Match Report,
43,6.0,Sat,2017-09-23,15:00,Baroka FC,2–2,Ajax Cape Town,350.0,Peter Mokaba Stadium,Daniel Job,Match Report,
44,6.0,Sat,2017-09-23,18:00,Bidvest Wits,1–0,Orlando Pirates,4850.0,BidVest Stadium,Thando Ndzandzeka,Match Report,
45,6.0,Sat,2017-09-23,20:00,Kaizer Chiefs,0–0,Golden Arrows,5300.0,Soccer City,Daniel Bennett,Match Report,
46,6.0,Sat,2017-09-23,20:15,AmaZulu,1–1,Platinum Stars,5600.0,King Goodwill Zwelithini Stadium,Phillip Tinyani,Match Report,
47,6.0,Sun,2017-09-24,15:00,Chippa Utd,0–0,Bloem Celtic,5282.0,Nelson Mandela Bay Stadium,Christopher Harrison,Match Report,
48,,,,,,,,,,,,
49,7.0,Fri,2017-09-29,20:00,Maritzburg Utd,0–1,Free State Stars,8000.0,Harry Gwala Stadium,Olani Qwinda,Match Report,
50,7.0,Sat,2017-09-30,15:00,Golden Arrows,1–1,Chippa Utd,1565.0,Princess Magogo Stadium,Victor Gomes,Match Report,
51,7.0,Sat,2017-09-30,15:00,Ajax Cape Town,0–2,Cape Town City,16000.0,Cape Town Stadium,Thando Ndzandzeka,Match Report,
52,7.0,Sat,2017-09-30,18:00,Kaizer Chiefs,1–2,Baroka FC,21280.0,Moses Mabhida Stadium,Phelelani Ndaba,Match Report,
53,7.0,Sat,2017-09-30,20:15,Polokwane City,2–2,Orlando Pirates,7000.0,Peter Mokaba Stadium,Shumani Tinyani,Match Report,
54,7.0,Sun,2017-10-01,15:00,Bloem Celtic,1–0,Bidvest Wits,7000.0,Dr. Petrus Molemela Stadium,Kulasande Qongqo,Match Report,
55,7.0,Sun,2017-10-01,15:00,Platinum Stars,0–1,Sundowns,4832.0,Royal Bafokeng Stadium,Eugene Mdluli,Match Report,
56,,,,,,,,,,,,
57,8.0,Tue,2017-10-17,19:30,Cape Town City,0–1,Bloem Celtic,3000.0,Athlone Stadium,Kulasande Qongqo,Match Report,
58,8.0,Tue,2017-10-17,19:30,Sundowns,1–2,Kaizer Chiefs,35000.0,Loftus Versfeld Stadium,Christopher Harrison,Match Report,
59,8.0,Wed,2017-10-18,19:30,Free State Stars,2–0,Ajax Cape Town,3500.0,Goble Park Stadium,Victor Hlungwani,Match Report,
60,8.0,Wed,2017-10-18,19:30,Orlando Pirates,1–1,Platinum Stars,1200.0,Soccer City,Daniel Bennett,Match Report,
61,8.0,Wed,2017-10-18,19:30,Chippa Utd,0–0,Maritzburg Utd,3189.0,Nelson Mandela Bay Stadium,Thando Ndzandzeka,Match Report,
62,8.0,Wed,2017-10-18,19:30,AmaZulu,2–3,Polokwane City,1216.0,King Goodwill Zwelithini Stadium,Phillip Tinyani,Match Report,
63,8.0,Wed,2017-10-18,19:30,Baroka FC,1–1,Golden Arrows,2500.0,Peter Mokaba Stadium,Luxolo Badi,Match Report,
64,,,,,,,,,,,,
65,9.0,Sat,2017-10-21,15:30,Golden Arrows,2–2,Polokwane City,300.0,Princess Magogo Stadium,Victor Hlungwani,Match Report,
66,9.0,Sat,2017-10-21,15:30,Kaizer Chiefs,0–0,Orlando Pirates,75000.0,Soccer City,Thando Ndzandzeka,Match Report,
67,9.0,Sat,2017-10-21,20:15,Sundowns,1–2,AmaZulu,3000.0,Lucas Masterpieces Moripe Stadium,Daniel Bennett,Match Report,
68,9.0,Sat,2017-10-21,20:15,Ajax Cape Town,2–1,Bloem Celtic,2000.0,Athlone Stadium,Phelelani Ndaba,Match Report,
69,9.0,Sat,2017-10-21,20:15,Free State Stars,1–1,Platinum Stars,2000.0,Goble Park Stadium,Eugene Mdluli,Match Report,
70,9.0,Sun,2017-10-22,15:30,Baroka FC,0–1,Bidvest Wits,950.0,Peter Mokaba Stadium,Christopher Harrison,Match Report,
71,9.0,Sun,2017-10-22,15:30,Chippa Utd,2–1,Cape Town City,8500.0,Sisa Dukashe Stadium,Phillip Tinyani,Match Report,
72,,,,,,,,,,,,
73,10.0,Tue,2017-10-31,19:30,Polokwane City,0–0,Kaizer Chiefs,13500.0,Peter Mokaba Stadium,Phillip Tinyani,Match Report,
74,10.0,Tue,2017-10-31,19:30,SuperSport,3–0,Golden Arrows,3231.0,Mbombela Stadium,Daniel Bennett,Match Report,
75,10.0,Tue,2017-10-31,19:30,Bloem Celtic,1–0,Maritzburg Utd,7500.0,Dr. Petrus Molemela Stadium,Victor Gomes,Match Report,
76,10.0,Wed,2017-11-01,19:30,Orlando Pirates,1–3,Sundowns,27000.0,Orlando Stadium,Victor Hlungwani,Match Report,
77,10.0,Wed,2017-11-01,19:30,Platinum Stars,1–0,Ajax Cape Town,422.0,Royal Bafokeng Stadium,Phelelani Ndaba,Match Report,
78,10.0,Wed,2017-11-01,19:30,Bidvest Wits,0–2,Chippa Utd,1000.0,BidVest Stadium,Christopher Harrison,Match Report,
79,10.0,Wed,2017-11-01,19:30,AmaZulu,1–1,Baroka FC,950.0,King Goodwill Zwelithini Stadium,Daniel Job,Match Report,
80,10.0,Wed,2017-11-01,19:30,Cape Town City,1–0,Free State Stars,2000.0,Cape Town Stadium,Kulasande Qongqo,Match Report,
81,,,,,,,,,,,,
82,11.0,Tue,2017-11-21,18:00,Cape Town City,1–1,Baroka FC,2000.0,Cape Town Stadium,Eugene Mdluli,Match Report,
83,11.0,Tue,2017-11-21,19:30,Orlando Pirates,0–0,Golden Arrows,2000.0,Orlando Stadium,Christopher Harrison,Match Report,
84,11.0,Tue,2017-11-21,19:30,Bidvest Wits,0–2,Sundowns,4850.0,BidVest Stadium,Victor Hlungwani,Match Report,
85,11.0,Wed,2017-11-22,18:00,Free State Stars,1–1,Chippa Utd,2500.0,Goble Park Stadium,Phillip Tinyani,Match Report,
86,11.0,Wed,2017-11-22,19:30,Polokwane City,0–0,Maritzburg Utd,4000.0,Pietersburg Stadium,Daniel Job,Match Report,
87,11.0,Wed,2017-11-22,19:30,Platinum Stars,0–0,Bloem Celtic,1104.0,Royal Bafokeng Stadium,Olani Kwinda,Match Report,
88,11.0,Wed,2017-11-22,19:30,AmaZulu,0–0,Kaizer Chiefs,5000.0,King Goodwill Zwelithini Stadium,Luxolo Badi,Match Report,
89,,,,,,,,,,,,
90,12.0,Sat,2017-11-25,15:30,Chippa Utd,0–0,Sundowns,17789.0,Nelson Mandela Bay Stadium,Christopher Harrison,Match Report,
91,12.0,Sat,2017-11-25,15:30,Maritzburg Utd,0–0,Bidvest Wits,2600.0,Harry Gwala Stadium,Olani Kwinda,Match Report,
92,12.0,Sat,2017-11-25,18:00,Kaizer Chiefs,1–1,Free State Stars,11000.0,Moses Mabhida Stadium,Eugene Mdluli,Match Report,
93,12.0,Sat,2017-11-25,20:15,Ajax Cape Town,2–2,AmaZulu,1500.0,Athlone Stadium,Daniel Job,Match Report,
94,12.0,Sat,2017-11-25,20:15,Golden Arrows,2–2,Cape Town City,150.0,Princess Magogo Stadium,Thando Ndzandzeka,Match Report,
95,12.0,Sun,2017-11-26,15:30,Baroka FC,2–2,Platinum Stars,150.0,Peter Mokaba Stadium,Phillip Tinyani,Match Report,
96,12.0,Sun,2017-11-26,15:30,Bloem Celtic,0–1,Orlando Pirates,20000.0,Dr. Petrus Molemela Stadium,Kulasande Qongqo,Match Report,
97,,,,,,,,,,,,
98,11.0,Wed,2017-11-29,19:30,SuperSport,1–0,Ajax Cape Town,2509.0,Royal Bafokeng Stadium,Daniel Job,Match Report,
99,,,,,,,,,,,,
100,13.0,Tue,2017-12-05,19:30,Orlando Pirates,0–0,SuperSport,4210.0,Orlando Stadium,Victor Gomes,Match Report,
101,13.0,Tue,2017-12-05,19:30,Cape Town City,2–4,Maritzburg Utd,150.0,Athlone Stadium,Kulasande Qongqo,Match Report,
102,13.0,Tue,2017-12-05,19:30,Sundowns,4–0,Baroka FC,4000.0,Lucas Masterpieces Moripe Stadium,Phillip Tinyani,Match Report,
103,13.0,Wed,2017-12-06,18:00,Free State Stars,2–1,Golden Arrows,1000.0,Goble Park Stadium,Olani Kwinda,Match Report,
104,13.0,Wed,2017-12-06,19:30,Bidvest Wits,0–0,Ajax Cape Town,430.0,BidVest Stadium,Luxolo Badi,Match Report,
105,13.0,Wed,2017-12-06,19:30,Polokwane City,0–1,Platinum Stars,350.0,Pietersburg Stadium,Tshidiso Mkwanazi,Match Report,
106,13.0,Wed,2017-12-06,19:30,Chippa Utd,1–0,Kaizer Chiefs,14997.0,Nelson Mandela Bay Stadium,Victor Hlungwani,Match Report,
107,,,,,,,,,,,,
108,14.0,Fri,2017-12-08,20:00,Maritzburg Utd,3–0,Baroka FC,5000.0,Harry Gwala Stadium,Eugene Mdluli,Match Report,
109,14.0,Sat,2017-12-09,15:30,Polokwane City,1–1,Bidvest Wits,450.0,Pietersburg Stadium,Thokozani Mkhize,Match Report,
110,14.0,Sat,2017-12-09,15:30,SuperSport,1–1,Cape Town City,2608.0,Mbombela Stadium,Daniel Job,Match Report,
111,14.0,Sat,2017-12-09,18:00,Platinum Stars,0–1,Kaizer Chiefs,8657.0,Royal Bafokeng Stadium,Kulasande Qongqo,Match Report,
112,14.0,Sat,2017-12-09,20:15,Orlando Pirates,1–1,AmaZulu,4000.0,Orlando Stadium,Victor Hlungwani,Match Report,
113,14.0,Sat,2017-12-09,20:15,Ajax Cape Town,1–0,Chippa Utd,460.0,BidVest Stadium,Olani Kwinda,Match Report,
114,14.0,Sun,2017-12-10,15:30,Bloem Celtic,3–0,Free State Stars,10000.0,Dr. Petrus Molemela Stadium,Phillip Tinyani,Match Report,
115,14.0,Sun,2017-12-10,15:30,Golden Arrows,0–1,Sundowns,5000.0,Princess Magogo Stadium,Victor Gomes,Match Report,
116,,,,,,,,,,,,
117,6.0,Wed,2017-12-13,19:30,Free State Stars,1–0,SuperSport,4000.0,Goble Park Stadium,Victor Gomes,Match Report,
118,6.0,Wed,2017-12-13,19:30,Sundowns,1–0,Maritzburg Utd,2000.0,Loftus Versfeld Stadium,Luxolo Badi,Match Report,
119,,,,,,,,,,,,
120,15.0,Fri,2017-12-15,20:00,Cape Town City,1–0,AmaZulu,5000.0,Cape Town Stadium,Jelly Chavani,Match Report,
121,15.0,Sat,2017-12-16,15:30,Sundowns,4–1,Bloem Celtic,2500.0,Loftus Versfeld Stadium,Daniel Bennett,Match Report,
122,15.0,Sat,2017-12-16,15:30,Chippa Utd,0–1,Polokwane City,1910.0,Nelson Mandela Bay Stadium,Eugene Mdluli,Match Report,
123,15.0,Sat,2017-12-16,18:00,Free State Stars,2–1,Orlando Pirates,7000.0,Goble Park Stadium,Kulasande Qongqo,Match Report,
124,15.0,Sat,2017-12-16,20:15,Bidvest Wits,0–1,Platinum Stars,304.0,BidVest Stadium,Victor Gomes,Match Report,
125,15.0,Sat,2017-12-16,20:15,Kaizer Chiefs,1–0,Ajax Cape Town,14669.0,Moses Mabhida Stadium,Victor Hlungwani,Match Report,
126,15.0,Sun,2017-12-17,15:30,Golden Arrows,0–0,Maritzburg Utd,3000.0,Princess Magogo Stadium,Thokozani Mkhize,Match Report,
127,15.0,Sun,2017-12-17,15:30,Baroka FC,3–1,SuperSport,250.0,Peter Mokaba Stadium,Luxolo Badi,Match Report,
128,,,,,,,,,,,,
129,4.0,Tue,2017-12-19,19:30,Sundowns,0–1,Cape Town City,12000.0,Loftus Versfeld Stadium,Christopher Harrison,Match Report,
130,4.0,Wed,2017-12-20,19:30,Bloem Celtic,1–1,SuperSport,8000.0,Dr. Petrus Molemela Stadium,Thando Ndzandzeka,Match Report,
131,,,,,,,,,,,,
132,16.0,Fri,2018-01-05,20:00,Ajax Cape Town,1–2,Maritzburg Utd,1500.0,Cape Town Stadium,Thokozani Mkhize,Match Report,
133,16.0,Fri,2018-01-05,20:00,Bidvest Wits,0–1,Free State Stars,750.0,BidVest Stadium,Daniel Bennett,Match Report,
134,16.0,Sat,2018-01-06,15:30,Polokwane City,3–2,Sundowns,14500.0,Pietersburg Stadium,Kulasande Qongqo,Match Report,
135,16.0,Sat,2018-01-06,18:00,SuperSport,0–0,Kaizer Chiefs,22816.0,Mbombela Stadium,Victor Hlungwani,Match Report,
136,16.0,Sat,2018-01-06,20:15,Platinum Stars,0–1,Cape Town City,1103.0,Royal Bafokeng Stadium,Jelly Chavani,Match Report,
137,16.0,Sat,2018-01-06,20:15,Orlando Pirates,3–1,Baroka FC,5000.0,Orlando Stadium,Thando Ndzandzeka,Match Report,
138,16.0,Sun,2018-01-07,15:30,Bloem Celtic,2–1,Golden Arrows,7500.0,Dr. Petrus Molemela Stadium,Olani Kwinda,Match Report,
139,16.0,Sun,2018-01-07,15:30,AmaZulu,0–2,Chippa Utd,4500.0,King Goodwill Zwelithini Stadium,Christopher Harrison,Match Report,
140,,,,,,,,,,,,
141,5.0,Tue,2018-01-09,19:30,Ajax Cape Town,1–2,Sundowns,13000.0,Cape Town Stadium,Daniel Bennett,Match Report,
142,,,,,,,,,,,,
143,8.0,Wed,2018-01-10,19:30,Bidvest Wits,2–0,SuperSport,1900.0,BidVest Stadium,Thando Ndzandzeka,Match Report,
144,,,,,,,,,,,,
145,17.0,Fri,2018-01-12,20:00,Ajax Cape Town,0–3,Platinum Stars,2000.0,Cape Town Stadium,Olani Kwinda,Match Report,Match awarded to Platinum Stars
146,17.0,Fri,2018-01-12,20:00,Maritzburg Utd,4–0,Bloem Celtic,7000.0,Harry Gwala Stadium,Victor Hlungwani,Match Report,
147,17.0,Sat,2018-01-13,15:30,Sundowns,1–3,Orlando Pirates,30000.0,Loftus Versfeld Stadium,Thando Ndzandzeka,Match Report,
148,17.0,Sat,2018-01-13,20:15,Free State Stars,1–0,Cape Town City,3500.0,Goble Park Stadium,Kulasande Qongqo,Match Report,
149,17.0,Sat,2018-01-13,20:15,Kaizer Chiefs,2–1,Polokwane City,11000.0,Soccer City,Eugene Mdluli,Match Report,
150,17.0,Sun,2018-01-14,15:30,Chippa Utd,1–1,Bidvest Wits,6105.0,Nelson Mandela Bay Stadium,Christopher Harrison,Match Report,
151,17.0,Sun,2018-01-14,15:30,Golden Arrows,1–0,SuperSport,1500.0,Princess Magogo Stadium,Luxolo Badi,Match Report,
152,17.0,Sun,2018-01-14,15:30,Baroka FC,2–0,AmaZulu,600.0,Peter Mokaba Stadium,Daniel Job,Match Report,
153,,,,,,,,,,,,
154,9.0,Wed,2018-01-17,19:30,Maritzburg Utd,0–1,SuperSport,8000.0,Harry Gwala Stadium,Luxolo Badi,Match Report,
155,,,,,,,,,,,,
156,18.0,Fri,2018-01-19,20:00,Bidvest Wits,1–0,Bloem Celtic,3500.0,BidVest Stadium,Kulasande Qongqo,Match Report,
157,18.0,Sat,2018-01-20,15:30,Cape Town City,1–0,Ajax Cape Town,13000.0,Cape Town Stadium,Thando Ndzandzeka,Match Report,
158,18.0,Sat,2018-01-20,15:30,Free State Stars,0–3,Maritzburg Utd,6000.0,Goble Park Stadium,Olani Qwinda,Match Report,
159,18.0,Sat,2018-01-20,18:00,Sundowns,3–0,Platinum Stars,2000.0,Loftus Versfeld Stadium,Victor Hlungwani,Match Report,
160,18.0,Sat,2018-01-20,20:15,AmaZulu,2–0,SuperSport,4500.0,King Goodwill Zwelithini Stadium,Phelelani Ndaba,Match Report,
161,18.0,Sat,2018-01-20,20:15,Orlando Pirates,1–1,Polokwane City,9000.0,Orlando Stadium,Daniel Job,Match Report,
162,18.0,Sun,2018-01-21,15:30,Chippa Utd,0–0,Golden Arrows,3993.0,Nelson Mandela Bay Stadium,Jelly Chavani,Match Report,
163,18.0,Sun,2018-01-21,15:30,Baroka FC,1–2,Kaizer Chiefs,24700.0,Peter Mokaba Stadium,Christopher Harrison,Match Report,
164,,,,,,,,,,,,
165,12.0,Tue,2018-01-23,19:30,SuperSport,1–1,Polokwane City,2000.0,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
166,,,,,,,,,,,,
167,13.0,Wed,2018-01-24,19:30,AmaZulu,0–0,Bloem Celtic,3500.0,King Goodwill Zwelithini Stadium,Jelly Chavani,Match Report,
168,,,,,,,,,,,,
169,19.0,Fri,2018-01-26,20:00,Maritzburg Utd,1–1,Chippa Utd,6000.0,Harry Gwala Stadium,Tshidiso Maruping,Match Report,
170,19.0,Fri,2018-01-26,20:00,Ajax Cape Town,0–0,Free State Stars,2000.0,Cape Town Stadium,Kulasande Qongqo,Match Report,
171,19.0,Sat,2018-01-27,15:30,Platinum Stars,0–2,Orlando Pirates,14311.0,Royal Bafokeng Stadium,Thokozani Mkhize,Match Report,
172,19.0,Sat,2018-01-27,15:30,Polokwane City,0–0,AmaZulu,2500.0,Pietersburg Stadium,Thando Ndzandzeka,Match Report,
173,19.0,Sat,2018-01-27,18:00,SuperSport,1–4,Bidvest Wits,1000.0,Lucas Masterpieces Moripe Stadium,Daniel Job,Match Report,
174,19.0,Sat,2018-01-27,20:15,Kaizer Chiefs,0–0,Sundowns,90000.0,Soccer City,Daniel Bennett,Match Report,
175,19.0,Sun,2018-01-28,15:30,Bloem Celtic,1–1,Cape Town City,10000.0,Dr. Petrus Molemela Stadium,Jelly Chavani,Match Report,
176,19.0,Sun,2018-01-28,15:30,Golden Arrows,2–2,Baroka FC,4000.0,Princess Magogo Stadium,Masixole Bambiso,Match Report,
177,,,,,,,,,,,,
178,7.0,Wed,2018-01-31,19:30,SuperSport,0–1,AmaZulu,1500.0,Lucas Masterpieces Moripe Stadium,Kulasande Qongqo,Match Report,
179,,,,,,,,,,,,
180,21.0,Wed,2018-01-31,19:30,Ajax Cape Town,3–0,Orlando Pirates,18000.0,Cape Town Stadium,Victor Hlungwani,Match Report,
181,,,,,,,,,,,,
182,20.0,Fri,2018-02-02,20:00,Cape Town City,0–1,Sundowns,15000.0,Cape Town Stadium,Victor Gomes,Match Report,
183,20.0,Sat,2018-02-03,15:30,Free State Stars,2–0,Baroka FC,3500.0,Goble Park Stadium,Phelelani Ndaba,Match Report,
184,20.0,Sat,2018-02-03,15:30,SuperSport,4–2,Bloem Celtic,2000.0,Lucas Masterpieces Moripe Stadium,Daniel Bennett,Match Report,
185,20.0,Sat,2018-02-03,18:00,Bidvest Wits,1–1,Kaizer Chiefs,5500.0,BidVest Stadium,Victor Hlungwani,Match Report,
186,20.0,Sat,2018-02-03,20:15,AmaZulu,2–1,Golden Arrows,6000.0,King Goodwill Zwelithini Stadium,Christopher Harrison,Match Report,
187,20.0,Sat,2018-02-03,20:15,Orlando Pirates,2–1,Maritzburg Utd,8500.0,Orlando Stadium,Thando Ndzandzeka,Match Report,
188,20.0,Sun,2018-02-04,15:30,Polokwane City,3–0,Ajax Cape Town,2600.0,Pietersburg Stadium,Daniel Job,Match Report,Match awarded to Polokwane City
189,20.0,Sun,2018-02-04,15:30,Chippa Utd,3–3,Platinum Stars,4030.0,Nelson Mandela Bay Stadium,Olani Qwinda,Match Report,
190,,,,,,,,,,,,
191,21.0,Fri,2018-02-16,20:00,Maritzburg Utd,2–0,AmaZulu,8500.0,Harry Gwala Stadium,Victor Hlungwani,Match Report,
192,21.0,Sat,2018-02-17,15:30,Golden Arrows,1–2,Bidvest Wits,1500.0,Princess Magogo Stadium,Victor Gomes,Match Report,
193,21.0,Sat,2018-02-17,15:30,Baroka FC,0–0,Chippa Utd,500.0,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
194,21.0,Sat,2018-02-17,20:15,Kaizer Chiefs,1–0,Cape Town City,12000.0,Soccer City,Christopher Harrison,Match Report,
195,21.0,Tue,2018-02-20,19:30,Platinum Stars,0–0,SuperSport,1148.0,Royal Bafokeng Stadium,Kulasande Qongqo,Match Report,
196,21.0,Wed,2018-02-21,19:30,Sundowns,1–1,Free State Stars,4000.0,Loftus Versfeld Stadium,Thando Ndzandzeka,Match Report,
197,,,,,,,,,,,,
198,22.0,Fri,2018-02-23,20:00,Maritzburg Utd,2–1,Platinum Stars,8000.0,Harry Gwala Stadium,Victor Gomes,Match Report,
199,22.0,Sat,2018-02-24,15:30,Baroka FC,1–1,Polokwane City,5810.0,Peter Mokaba Stadium,Daniel Bennett,Match Report,
200,22.0,Sat,2018-02-24,18:00,Cape Town City,1–2,Bidvest Wits,2000.0,Athlone Stadium,Kulasande Qongqo,Match Report,
201,22.0,Sat,2018-02-24,18:00,Sundowns,1–1,SuperSport,5000.0,Loftus Versfeld Stadium,Eugene Mdluli,Match Report,
202,22.0,Sat,2018-02-24,20:15,Free State Stars,0–0,AmaZulu,3500.0,Goble Park Stadium,Luxolo Badi,Match Report,
203,22.0,Sat,2018-02-24,20:15,Kaizer Chiefs,0–0,Bloem Celtic,12000.0,Moses Mabhida Stadium,Daniel Job,Match Report,
204,22.0,Sun,2018-02-25,15:15,Golden Arrows,1–0,Ajax Cape Town,1000.0,Princess Magogo Stadium,Masixole Bambiso,Match Report,
205,22.0,Sun,2018-02-25,15:30,Chippa Utd,2–4,Orlando Pirates,24375.0,Nelson Mandela Bay Stadium,Victor Hlungwani,Match Report,
206,,,,,,,,,,,,
207,24.0,Tue,2018-02-27,19:30,Baroka FC,2–0,Cape Town City,350.0,Peter Mokaba Stadium,Victor Hlungwani,Match Report,
208,24.0,Wed,2018-02-28,19:30,Ajax Cape Town,0–3,SuperSport,5600.0,Cape Town Stadium,Luxolo Badi,Match Report,Match awarded to SuperSport
209,,,,,,,,,,,,
210,23.0,Fri,2018-03-02,18:00,AmaZulu,1–3,Sundowns,12000.0,King Goodwill Zwelithini Stadium,Kulasande Qongqo,Match Report,
211,23.0,Fri,2018-03-02,20:00,Bidvest Wits,1–1,Baroka FC,3500.0,BidVest Stadium,Daniel Job,Match Report,
212,23.0,Fri,2018-03-02,20:00,Cape Town City,2–0,Chippa Utd,2500.0,Athlone Stadium,Phelelani Ndaba,Match Report,
213,23.0,Sat,2018-03-03,15:30,Orlando Pirates,3–1,Kaizer Chiefs,86314.0,Soccer City,Daniel Bennett,Match Report,
