,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Fri,2017-08-18,20:00,Bidvest Wits,0–1,Cape Town City,3000.0,BidVest Stadium,Christopher Harrison,Match Report,
1,1.0,Sat,2017-08-19,15:00,Polokwane City,0–0,Baroka FC,4500.0,Pietersburg Stadium,Phelelani Ndaba,Match Report,
2,1.0,Sat,2017-08-19,15:00,AmaZulu,1–0,Free State Stars,5000.0,King Goodwill Zwelithini Stadium,Kulasande Qongqo,Match Report,
3,1.0,Sat,2017-08-19,15:00,SuperSport,0–2,Sundowns,10000.0,Lucas Masterpieces Moripe Stadium,Victor Gomes,Match Report,
4,1.0,Sat,2017-08-19,18:00,Orlando Pirates,1–0,Chippa Utd,6300.0,Orlando Stadium,Thando Ndzandzeka,Match Report,
5,1.0,Sat,2017-08-19,20:15,Ajax Cape Town,1–1,Golden Arrows,3000.0,Cape Town Stadium,Cedrick Muvhali,Match Report,
6,1.0,Sun,2017-08-20,15:00,Bloem Celtic,1–1,Kaizer Chiefs,30000.0,Toyota Stadium,Victor Hlungwani,Match Report,
7,1.0,Sun,2017-08-20,15:00,Platinum Stars,0–2,Maritzburg Utd,1000.0,Royal Bafokeng Stadium,Daniel Bennett,Match Report,
8,,,,,,,,,,,,
9,2.0,Tue,2017-08-22,19:30,Sundowns,1–2,Polokwane City,7000.0,Loftus Versfeld Stadium,Christopher Harrison,Match Report,
10,2.0,Tue,2017-08-22,19:30,Chippa Utd,2–0,AmaZulu,1600.0,Nelson Mandela Bay Stadium,Cedrick Muvhali,Match Report,
11,2.0,Tue,2017-08-22,19:30,Baroka FC,1–1,Orlando Pirates,10000.0,Peter Mokaba Stadium,Kulasande Qongqo,Match Report,
12,2.0,Wed,2017-08-23,19:30,Golden Arrows,1–1,Bloem Celtic,800.0,Princess Magogo Stadium,Thando Ndzandzeka,Match Report,
13,2.0,Wed,2017-08-23,19:30,Cape Town City,3–1,Platinum Stars,2500.0,Cape Town Stadium,Victor Gomes,Match Report,
14,2.0,Wed,2017-08-23,19:30,Free State Stars,2–2,Bidvest Wits,2000.0,Goble Park Stadium,Phelelani Ndaba,Match Report,
15,2.0,Wed,2017-08-23,19:30,Maritzburg Utd,2–0,Ajax Cape Town,2500.0,Harry Gwala Stadium,Victor Hlungwani,Match Report,
16,2.0,Wed,2017-08-23,19:30,Kaizer Chiefs,1–2,SuperSport,4400.0,Soccer City,Daniel Bennett,Match Report,
17,,,,,,,,,,,,
18,3.0,Mon,2017-09-11,18:00,Free State Stars,1–2,Sundowns,6000.0,Goble Park Stadium,Phelelani Ndaba,Match Report,
19,3.0,Tue,2017-09-12,19:30,AmaZulu,1–1,Maritzburg Utd,2600.0,King Goodwill Zwelithini Stadium,Olani Kwinda,Match Report,
20,3.0,Tue,2017-09-12,19:30,Orlando Pirates,1–0,Ajax Cape Town,3800.0,Orlando Stadium,Daniel Bennett,Match Report,
21,3.0,Tue,2017-09-12,19:30,Chippa Utd,1–3,Baroka FC,6300.0,Nelson Mandela Bay Stadium,Daniel Job,Match Report,
22,3.0,Tue,2017-09-12,19:30,SuperSport,2–0,Platinum Stars,1500.0,Lucas Masterpieces Moripe Stadium,Thando Ndzandzeka,Match Report,
23,3.0,Tue,2017-09-12,19:30,Polokwane City,1–2,Bloem Celtic,4500.0,Pietersburg Stadium,Cedrick Muvhali,Match Report,
24,3.0,Wed,2017-09-13,19:30,Bidvest Wits,1–3,Golden Arrows,1460.0,BidVest Stadium,Kulasande Qongqo,Match Report,
25,3.0,Wed,2017-09-13,19:30,Cape Town City,0–2,Kaizer Chiefs,27000.0,Cape Town Stadium,Victor Hlungwani,Match Report,
26,,,,,,,,,,,,
27,4.0,Fri,2017-09-15,20:00,Maritzburg Utd,0–0,Orlando Pirates,12000.0,Harry Gwala Stadium,Cedrick Muvhali,Match Report,
28,4.0,Fri,2017-09-15,20:00,Ajax Cape Town,2–0,Polokwane City,1000.0,Cape Town Stadium,Eugene Mdluli,Match Report,
29,4.0,Sat,2017-09-16,15:00,Baroka FC,1–0,Free State Stars,450.0,Peter Mokaba Stadium,Kulasande Qongqo,Match Report,
30,4.0,Sat,2017-09-16,18:00,Kaizer Chiefs,1–1,Bidvest Wits,7200.0,Soccer City,Phelelani Ndaba,Match Report,
31,4.0,Sat,2017-09-16,20:15,Platinum Stars,0–0,Chippa Utd,1000.0,Royal Bafokeng Stadium,Olani Kwinda,Match Report,
32,4.0,Sun,2017-09-17,15:00,Golden Arrows,4–1,AmaZulu,2500.0,Princess Magogo Stadium,Victor Hlungwani,Match Report,
33,,,,,,,,,,,,
34,5.0,Tue,2017-09-19,19:30,SuperSport,1–1,Chippa Utd,500.0,Lucas Masterpieces Moripe Stadium,Phelelani Ndaba,Match Report,
35,5.0,Tue,2017-09-19,19:30,Polokwane City,2–3,Free State Stars,3500.0,Pietersburg Stadium,Thando Ndzandzeka,Match Report,
36,5.0,Tue,2017-09-19,19:30,Orlando Pirates,1–0,Cape Town City,3500.0,Soccer City,Kulasande Qongqo,Match Report,
37,5.0,Wed,2017-09-20,19:30,AmaZulu,3–0,Bidvest Wits,2500.0,King Goodwill Zwelithini Stadium,Daniel Job,Match Report,
