,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
210,23.0,Thu,2017-04-13,18:00,Platinum Stars,2–4,Cape Town City,1500.0,Moruleng Stadium,Thando Ndzandzeka,Match Report,
211,,,,,,,,,,,,
212,24.0,Fri,2017-04-14,17:00,Maritzburg Utd,3–1,Baroka FC,2500.0,Harry Gwala Stadium,Lwandile Mfiki,Match Report,
213,24.0,Sat,2017-04-15,15:00,Golden Arrows,1–1,Ajax Cape Town,2000.0,Princess Magogo Stadium,Cedrick Muvhali,Match Report,
214,24.0,Sat,2017-04-15,18:00,Kaizer Chiefs,1–0,Chippa Utd,10000.0,Mbombela Stadium,Kulasande Qongqo,Match Report,
215,24.0,Sat,2017-04-15,20:15,Highlands Park,0–0,Orlando Pirates,5000.0,Makhulong Stadium,Phillip Tinyani,Match Report,
216,24.0,Sun,2017-04-16,15:00,Free State Stars,0–1,Sundowns,5000.0,James Motlatsi Stadium,Thando Ndzandzeka,Match Report,
217,,,,,,,,,,,,
218,13.0,Wed,2017-04-19,19:30,SuperSport,0–1,Sundowns,5000.0,Lucas Masterpieces Moripe Stadium,Kulasande Qongqo,Match Report,
219,,,,,,,,,,,,
220,24.0,Wed,2017-04-19,19:30,Polokwane City,1–0,Platinum Stars,1000.0,Pietersburg Stadium,Phelelani Ndaba,Match Report,
221,24.0,Wed,2017-04-19,19:30,Cape Town City,1–1,Bidvest Wits,5000.0,Cape Town Stadium,Victor Gomes,Match Report,
222,,,,,,,,,,,,
223,25.0,Tue,2017-04-25,19:30,Polokwane City,3–1,Golden Arrows,1500.0,Pietersburg Stadium,Victor Gomes,Match Report,
224,25.0,Tue,2017-04-25,19:30,Bidvest Wits,0–1,SuperSport,2000.0,BidVest Stadium,Masixole Bambiso,Match Report,
225,25.0,Tue,2017-04-25,19:30,Chippa Utd,2–3,Maritzburg Utd,5000.0,Nelson Mandela Bay Stadium,Naasif Moegamat Julius,Match Report,
226,25.0,Tue,2017-04-25,19:30,Cape Town City,3–2,Kaizer Chiefs,15000.0,Cape Town Stadium,Victor Hlungwani,Match Report,
227,25.0,Tue,2017-04-25,19:30,Bloem Celtic,1–1,Highlands Park,3000.0,Dr. Petrus Molemela Stadium,Thando Ndzandzeka,Match Report,
228,25.0,Tue,2017-04-25,19:30,Sundowns,2–0,Ajax Cape Town,5000.0,Loftus Versfeld Stadium,Phillip Tinyani,Match Report,
229,25.0,Wed,2017-04-26,19:30,Orlando Pirates,1–1,Baroka FC,5000.0,Orlando Stadium,Phelelani Ndaba,Match Report,
230,25.0,Wed,2017-04-26,19:30,Platinum Stars,1–1,Free State Stars,1500.0,Moruleng Stadium,Olani Kwinda,Match Report,
231,,,,,,,,,,,,
232,26.0,Fri,2017-04-28,20:00,Golden Arrows,0–2,Sundowns,5000.0,Princess Magogo Stadium,Kulasande Qongqo,Match Report,
233,26.0,Fri,2017-04-28,20:00,Highlands Park,0–2,Bidvest Wits,3000.0,Makhulong Stadium,Naasif Moegamat Julius,Match Report,
234,26.0,Sat,2017-04-29,15:00,Free State Stars,1–2,Polokwane City,1500.0,Goble Park Stadium,Phelelani Ndaba,Match Report,
235,26.0,Sat,2017-04-29,18:00,SuperSport,2–2,Kaizer Chiefs,15000.0,Mbombela Stadium,Phillip Tinyani,Match Report,
236,26.0,Sat,2017-04-29,20:15,Orlando Pirates,2–1,Chippa Utd,7000.0,Orlando Stadium,Victor Hlungwani,Match Report,
237,26.0,Sun,2017-04-30,15:00,Baroka FC,1–1,Bloem Celtic,2000.0,Peter Mokaba Stadium,Lwandile Mfiki,Match Report,
238,26.0,Sun,2017-04-30,15:00,Ajax Cape Town,2–0,Platinum Stars,300.0,Cape Town Stadium,Eugene Mdluli,Match Report,
239,26.0,Mon,2017-05-01,15:00,Maritzburg Utd,1–0,Cape Town City,2000.0,Harry Gwala Stadium,Christopher Harrison,Match Report,
240,,,,,,,,,,,,
241,6.0,Mon,2017-05-01,17:00,Bidvest Wits,1–0,Sundowns,4000.0,BidVest Stadium,Victor Hlungwani,Match Report,
242,,,,,,,,,,,,
243,24.0,Wed,2017-05-03,19:30,SuperSport,0–0,Bloem Celtic,1500.0,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
244,,,,,,,,,,,,
245,3.0,Thu,2017-05-04,18:00,Sundowns,2–2,Platinum Stars,4000.0,Lucas Masterpieces Moripe Stadium,Christopher Harrison,Match Report,
246,,,,,,,,,,,,
247,4.0,Thu,2017-05-04,19:30,Bidvest Wits,1–0,Orlando Pirates,3500.0,BidVest Stadium,Victor Gomes,Match Report,
248,,,,,,,,,,,,
249,27.0,Fri,2017-05-05,20:00,Cape Town City,1–0,Free State Stars,2000.0,Athlone Stadium,Thando Ndzandzeka,Match Report,
250,27.0,Sat,2017-05-06,15:00,Chippa Utd,0–1,Ajax Cape Town,5000.0,Sisa Dukashe Stadium,Victor Gomes,Match Report,
251,27.0,Sat,2017-05-06,18:00,Polokwane City,2–3,SuperSport,2500.0,Pietersburg Stadium,Naasif Moegamat Julius,Match Report,
252,27.0,Sat,2017-05-06,20:15,Kaizer Chiefs,1–1,Golden Arrows,4000.0,Soccer City,Phelelani Ndaba,Match Report,
253,27.0,Sun,2017-05-07,15:00,Platinum Stars,1–0,Highlands Park,764.0,Royal Bafokeng Stadium,Christopher Harrison,Match Report,
254,27.0,Sun,2017-05-07,15:00,Bidvest Wits,1–0,Maritzburg Utd,3000.0,BidVest Stadium,Phillip Tinyani,Match Report,
255,,,,,,,,,,,,
256,28.0,Sun,2017-05-07,15:00,Orlando Pirates,0–2,Sundowns,21000.0,Orlando Stadium,Kulasande Qongqo,Match Report,
257,28.0,Tue,2017-05-09,19:30,SuperSport,4–2,Cape Town City,1000.0,Lucas Masterpieces Moripe Stadium,Phelelani Ndaba,Match Report,
258,,,,,,,,,,,,
259,27.0,Wed,2017-05-10,19:30,Bloem Celtic,0–0,Orlando Pirates,13000.0,Dr. Petrus Molemela Stadium,Olani Kwinda,Match Report,
260,27.0,Wed,2017-05-10,19:30,Sundowns,2–2,Baroka FC,1000.0,Lucas Masterpieces Moripe Stadium,Thando Ndzandzeka,Match Report,
261,,,,,,,,,,,,
262,28.0,Wed,2017-05-10,19:30,Free State Stars,3–1,Bidvest Wits,3000.0,Goble Park Stadium,Victor Gomes,Match Report,
263,28.0,Wed,2017-05-10,19:30,Maritzburg Utd,0–0,Platinum Stars,5000.0,Harry Gwala Stadium,Cedrick Muvhali,Match Report,
264,28.0,Fri,2017-05-12,20:00,Highlands Park,1–0,Chippa Utd,600.0,Makhulong Stadium,Phillip Tinyani,Match Report,
265,28.0,Sat,2017-05-13,15:00,Golden Arrows,3–2,Baroka FC,2500.0,Princess Magogo Stadium,Víctor Gómez Diez,Match Report,
266,28.0,Sat,2017-05-13,18:00,Polokwane City,1–0,Kaizer Chiefs,3500.0,Peter Mokaba Stadium,Kulasande Qongqo,Match Report,
267,28.0,Sat,2017-05-13,20:15,Ajax Cape Town,2–0,Bloem Celtic,1500.0,Athlone Stadium,Thando Ndzandzeka,Match Report,
268,,,,,,,,,,,,
269,29.0,Wed,2017-05-17,19:30,Sundowns,2–2,Maritzburg Utd,3000.0,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
270,29.0,Wed,2017-05-17,19:30,Bidvest Wits,2–0,Polokwane City,1350.0,BidVest Stadium,Thando Ndzandzeka,Match Report,
271,29.0,Wed,2017-05-17,19:30,Platinum Stars,2–0,Kaizer Chiefs,5700.0,Royal Bafokeng Stadium,Eugene Mdluli,Match Report,
272,29.0,Wed,2017-05-17,19:30,Cape Town City,1–0,Golden Arrows,2500.0,Athlone Stadium,Kulasande Qongqo,Match Report,
273,29.0,Wed,2017-05-17,19:30,Bloem Celtic,0–0,Free State Stars,7500.0,Dr. Petrus Molemela Stadium,Phillip Tinyani,Match Report,
274,29.0,Wed,2017-05-17,19:30,Chippa Utd,3–0,SuperSport,10000.0,Nelson Mandela Bay Stadium,Phelelani Ndaba,Match Report,
275,29.0,Wed,2017-05-17,19:30,Baroka FC,0–0,Highlands Park,2500.0,Peter Mokaba Stadium,Daniel Bennett,Match Report,
276,29.0,Wed,2017-05-17,19:30,Orlando Pirates,0–0,Ajax Cape Town,2000.0,Orlando Stadium,Naasif Moegamat Julius,Match Report,
277,,,,,,,,,,,,
278,30.0,Sat,2017-05-27,15:00,Golden Arrows,2–1,Orlando Pirates,8791.0,Moses Mabhida Stadium,Thando Ndzandzeka,Match Report,
279,30.0,Sat,2017-05-27,15:00,Polokwane City,4–2,Cape Town City,4200.0,Pietersburg Stadium,Lwandile Mfiki,Match Report,
280,30.0,Sat,2017-05-27,15:00,Maritzburg Utd,1–1,Bloem Celtic,4000.0,Harry Gwala Stadium,Daniel Bennett,Match Report,
281,30.0,Sat,2017-05-27,15:00,Ajax Cape Town,0–1,Baroka FC,3000.0,Cape Town Stadium,Kulasande Qongqo,Match Report,
282,30.0,Sat,2017-05-27,15:00,SuperSport,0–1,Platinum Stars,1500.0,Lucas Masterpieces Moripe Stadium,Lusapo Mabombo,Match Report,
283,30.0,Sat,2017-05-27,15:00,Highlands Park,2–2,Sundowns,10000.0,Makhulong Stadium,Victor Hlungwani,Match Report,
284,30.0,Sat,2017-05-27,15:00,Kaizer Chiefs,1–0,Bidvest Wits,5300.0,Soccer City,Luxolo Badi,Match Report,
285,30.0,Sat,2017-05-27,15:00,Free State Stars,0–0,Chippa Utd,3500.0,Goble Park Stadium,Christopher Harrison,Match Report,
