,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
48,5.0,Wed,2016-10-26,19:30,Ajax Cape Town,1–2,Bidvest Wits,2500.0,Cape Town Stadium,Victor Gomes,Match Report,
49,,,,,,,,,,,,
50,7.0,Fri,2016-10-28,20:00,Maritzburg Utd,2–2,Golden Arrows,3000.0,Harry Gwala Stadium,Daniel Bennett,Match Report,
51,7.0,Fri,2016-10-28,20:00,Chippa Utd,1–1,Platinum Stars,5000.0,Nelson Mandela Bay Stadium,Bafana Mosia,Match Report,
52,7.0,Sat,2016-10-29,15:30,Orlando Pirates,0–0,Kaizer Chiefs,60000.0,Soccer City,Victor Gomes,Match Report,
53,7.0,Sat,2016-10-29,20:15,Ajax Cape Town,0–2,SuperSport,4000.0,Cape Town Stadium,Phillip Tinyani,Match Report,
54,7.0,Sat,2016-10-29,20:15,Bloem Celtic,1–2,Bidvest Wits,5000.0,Dr. Petrus Molemela Stadium,Khulekane Thusi,Match Report,
55,7.0,Sun,2016-10-30,15:30,Sundowns,1–2,Cape Town City,8000.0,Loftus Versfeld Stadium,Lwandile Mfiki,Match Report,
56,7.0,Sun,2016-10-30,15:30,Highlands Park,2–2,Free State Stars,2500.0,Makhulong Stadium,Victor Hlungwani,Match Report,
57,7.0,Sun,2016-10-30,15:30,Baroka FC,2–2,Polokwane City,5000.0,Peter Mokaba Stadium,Kulasande Qongqo,Match Report,
58,,,,,,,,,,,,
59,8.0,Tue,2016-11-01,19:30,Bidvest Wits,1–0,Chippa Utd,500.0,Volkswagen Dobsonville Stadium,Naasif Moegamat Julius,Match Report,
60,8.0,Tue,2016-11-01,19:30,SuperSport,6–1,Orlando Pirates,15000.0,Mbombela Stadium,Victor Hlungwani,Match Report,
61,8.0,Wed,2016-11-02,18:00,Free State Stars,1–1,Ajax Cape Town,500.0,Goble Park Stadium,Cedrick Muvhali,Match Report,
62,8.0,Wed,2016-11-02,19:30,Maritzburg Utd,1–1,Highlands Park,3000.0,Harry Gwala Stadium,Lwandile Mfiki,Match Report,
63,8.0,Wed,2016-11-02,19:30,Cape Town City,1–0,Bloem Celtic,1500.0,Cape Town Stadium,Phillip Tinyani,Match Report,
64,8.0,Wed,2016-11-02,19:30,Kaizer Chiefs,0–0,Baroka FC,5000.0,Moses Mabhida Stadium,Thando Ndzandzeka,Match Report,
65,8.0,Wed,2016-11-02,19:30,Polokwane City,0–2,Sundowns,5000.0,Peter Mokaba Stadium,Nkosinathi Mahono,Match Report,
66,8.0,Wed,2016-11-02,19:30,Golden Arrows,0–1,Platinum Stars,1500.0,Princess Magogo Stadium,Victor Gomes,Match Report,
67,,,,,,,,,,,,
68,9.0,Sat,2016-11-19,15:30,Baroka FC,1–1,SuperSport,3500.0,Peter Mokaba Stadium,Khulekane Thusi,Match Report,
69,9.0,Sat,2016-11-19,15:30,Chippa Utd,1–2,Cape Town City,4000.0,Nelson Mandela Bay Stadium,Victor Gomes,Match Report,
70,9.0,Sat,2016-11-19,15:30,Sundowns,2–1,Kaizer Chiefs,20000.0,Loftus Versfeld Stadium,Daniel Bennett,Match Report,
71,9.0,Sat,2016-11-19,18:00,Orlando Pirates,1–0,Free State Stars,7000.0,Orlando Stadium,Thando Ndzandzeka,Match Report,
72,9.0,Sat,2016-11-19,20:15,Ajax Cape Town,1–2,Maritzburg Utd,2000.0,Cape Town Stadium,Kulasande Qongqo,Match Report,
73,9.0,Sat,2016-11-19,20:15,Platinum Stars,0–1,Bidvest Wits,1500.0,Royal Bafokeng Stadium,Victor Hlungwani,Match Report,
