Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,
2023-08-04,19:30,Sekhukhune United FC,1–2,Sundowns,,Peter Mokaba Stadium,Sikhumbuzo Gasa,Match Report,
2023-08-05,15:00,Golden Arrows,1–1,Moroka Swallows,,Mpumalanga Town Stadium,Tshidiso Maruping,Match Report,
2023-08-05,15:00,SuperSport,2–0,Richards Bay FC,,Peter Mokaba Stadium,Michael Mosemeng,Match Report,
2023-08-05,17:30,Royal Eagles FC,0–0,AmaZulu,,Harry Gwala Stadium,Luxolo Badi,Match Report,
2023-08-05,20:00,Stellenbosch FC,1–0,Orlando Pirates,,Danie Craven Stadium,Thando Ndzandzeka,Match Report,
2023-08-06,15:00,Kaizer Chiefs,0–0,Chippa Utd,,Moses Mabhida Stadium,Jelly Chavani,Match Report,
2023-08-06,15:00,TS Galaxy,1–0,Ajax Cape Town,,Mbombela Stadium,Tshidiso Mkwanazi,Match Report,
2023-08-06,17:30,Cape Town City,1–0,Polokwane City,,Athlone Stadium,Sicelo Velapi,Match Report,
2023-08-08,17:00,Richards Bay FC,1–2,Golden Arrows,,King Goodwill Zwelithini Stadium,Olani Kwinda,Match Report,
2023-08-08,19:30,Orlando Pirates,4–2,Royal Eagles FC,,Orlando Stadium,Thabo khabela,Match Report,
2023-08-09,15:00,Moroka Swallows,0–1,Cape Town City,,Volkswagen Dobsonville Stadium,Qunta Siyabulela,Match Report,
2023-08-09,15:00,Sundowns,2–1,Kaizer Chiefs,,Lucas Masterpieces Moripe Stadium,Abongile Tom,Match Report,
2023-08-09,17:30,AmaZulu,0–0,SuperSport,,Moses Mabhida Stadium,Cedrick Muvhali,Match Report,
2023-08-09,19:30,Chippa Utd,0–0,TS Galaxy,,Nelson Mandela Bay Stadium,Masixole Bambiso,Match Report,
2023-08-09,19:30,Ajax Cape Town,0–2,Sekhukhune United FC,,Athlone Stadium,Philangenkosi Khumalo,Match Report,
2023-08-09,19:30,Polokwane City,1–0,Stellenbosch FC,,Pietersburg Stadium,Mokhele Thulo,Match Report,
2023-08-15,17:00,Sundowns,4–0,Golden Arrows,,Loftus Versfeld Stadium,Msimeleli Mabuto,Match Report,
2023-08-15,19:30,Chippa Utd,1–1,Orlando Pirates,,Nelson Mandela Bay Stadium,Thokozani Mkhize,Match Report,
2023-08-16,19:30,Sekhukhune United FC,1–2,Moroka Swallows,,Peter Mokaba Stadium,Siyabonga Nkomo,Match Report,
2023-08-18,19:30,SuperSport,1–0,Cape Town City,,TUT Stadium,Sikhumbuzo Gasa,Match Report,
2023-08-18,19:30,Royal Eagles FC,1–3,Stellenbosch FC,,Harry Gwala Stadium,Mokhele Thulo,Match Report,
2023-08-19,15:00,Polokwane City,3–1,Ajax Cape Town,,Pietersburg Stadium,Thando Ndzandzeka,Match Report,
2023-08-19,17:30,AmaZulu,0–0,Richards Bay FC,,Moses Mabhida Stadium,Facundo Andújar,Match Report,
2023-08-19,20:00,Chippa Utd,0–2,Sundowns,,Nelson Mandela Bay Stadium,Tshidiso Mkwanazi,Match Report,
2023-08-20,15:00,TS Galaxy,1–0,Kaizer Chiefs,,Mbombela Stadium,Michael Mosemeng,Match Report,
2023-08-23,17:00,Richards Bay FC,0–1,Sundowns,,King Goodwill Zwelithini Stadium,Moreki Lekwape,Match Report,
2023-08-23,19:30,Cape Town City,0–1,Sekhukhune United FC,,Athlone Stadium,Joseph Makhubo,Match Report,
2023-08-25,19:30,Ajax Cape Town,0–1,Chippa Utd,,Athlone Stadium,Thabo khabela,Match Report,
2023-08-26,15:00,Golden Arrows,3–2,Polokwane City,,Mpumalanga Town Stadium,Qunta Siyabulela,Match Report,
2023-08-26,17:30,Kaizer Chiefs,3–0,AmaZulu,,FNB Stadium,Tshidiso Maruping,Match Report,
2023-08-26,20:00,Stellenbosch FC,1–2,SuperSport,,Danie Craven Stadium,Tshidiso Mkwanazi,Match Report,
2023-08-27,15:00,Royal Eagles FC,1–0,TS Galaxy,,Harry Gwala Stadium,Buhlebendawo Jobela,Match Report,
2023-08-29,17:00,SuperSport,0–3,Golden Arrows,,Peter Mokaba Stadium,Cedrick Muvhali,Match Report,
2023-08-29,19:30,Orlando Pirates,2–0,Cape Town City,,Orlando Stadium,Michael Mosemeng,Match Report,
2023-08-30,17:00,Polokwane City,0–2,Sundowns,,Peter Mokaba Stadium,Jelly Chavani,Match Report,
2023-08-30,19:30,Richards Bay FC,1–1,Sekhukhune United FC,,King Goodwill Zwelithini Stadium,Abongile Tom,Match Report,
2023-08-30,19:30,AmaZulu,1–0,TS Galaxy,,Moses Mabhida Stadium,Luxolo Badi,Match Report,
2023-08-30,19:30,Moroka Swallows,3–1,Ajax Cape Town,,Volkswagen Dobsonville Stadium,Philangenkosi Khumalo,Match Report,
2023-08-30,19:30,Chippa Utd,2–3,Royal Eagles FC,,Nelson Mandela Bay Stadium,Msimeleli Mabuto,Match Report,
2023-08-30,19:30,Stellenbosch FC,0–2,Kaizer Chiefs,,Athlone Stadium,Thando Ndzandzeka,Match Report,
2023-09-15,19:30,Moroka Swallows,0–1,Richards Bay FC,,Volkswagen Dobsonville Stadium,Qunta Siyabulela,Match Report,
2023-09-16,15:00,Golden Arrows,0–0,Stellenbosch FC,,Mpumalanga Town Stadium,Joseph Makhubo,Match Report,
2023-09-16,17:30,Kaizer Chiefs,0–0,Royal Eagles FC,,FNB Stadium,Olani Kwinda,Match Report,
2023-09-17,17:30,AmaZulu,3–2,Cape Town City,,Moses Mabhida Stadium,Cedrick Muvhali,Match Report,
2023-09-19,19:30,Stellenbosch FC,0–2,Moroka Swallows,,Danie Craven Stadium,Sikhumbuzo Gasa,Match Report,
2023-09-19,19:30,Ajax Cape Town,1–2,Golden Arrows,,Danie Craven Stadium,Luxolo Badi,Match Report,
2023-09-19,19:30,Richards Bay FC,1–2,Chippa Utd,,King Goodwill Zwelithini Stadium,Thando Ndzandzeka,Match Report,
2023-09-20,19:30,Royal Eagles FC,0–1,Sekhukhune United FC,,Peter Mokaba Stadium,Tshidiso Maruping,Match Report,
2023-09-20,19:30,SuperSport,1–0,Kaizer Chiefs,,Peter Mokaba Stadium,Jelly Chavani,Match Report,
2023-09-20,19:30,TS Galaxy,0–0,Cape Town City,,Mbombela Stadium,Philangenkosi Khumalo,Match Report,
2023-09-20,19:30,Orlando Pirates,0–1,Sundowns,,Orlando Stadium,Masixole Bambiso,Match Report,
2023-09-25,15:00,Polokwane City,0–0,AmaZulu,,Pietersburg Stadium,Moreki Lekwape,Match Report,
2023-09-26,19:30,Chippa Utd,1–0,SuperSport,,Nelson Mandela Bay Stadium,Tshidiso Maruping,Match Report,
2023-09-27,19:30,Sundowns,3–1,Stellenbosch FC,,Lucas Masterpieces Moripe Stadium,Eugene Mdluli,Match Report,
2023-09-27,19:30,Kaizer Chiefs,2–1,Sekhukhune United FC,,Moses Mabhida Stadium,Michael Mosemeng,Match Report,
2023-09-29,19:30,Moroka Swallows,2–1,AmaZulu,,Volkswagen Dobsonville Stadium,Facundo Andújar,Match Report,
2023-09-30,15:00,Cape Town City,3–1,Ajax Cape Town,,DHL Stadium,Thando Ndzandzeka,Match Report,
2023-09-30,17:30,Polokwane City,1–0,Royal Eagles FC,,Pietersburg Stadium,Abongile Tom,Match Report,
2023-10-01,15:30,TS Galaxy,1–1,Richards Bay FC,,Mbombela Stadium,Jelly Chavani,Match Report,
2023-10-03,19:30,Kaizer Chiefs,0–1,Cape Town City,,FNB Stadium,Sikhumbuzo Gasa,Match Report,
2023-10-04,17:00,Moroka Swallows,0–0,Chippa Utd,,Volkswagen Dobsonville Stadium,Olani Kwinda,Match Report,
2023-10-04,19:30,Stellenbosch FC,3–0,TS Galaxy,,Danie Craven Stadium,Philangenkosi Khumalo,Match Report,
2023-10-04,19:30,Ajax Cape Town,1–2,SuperSport,,Athlone Stadium,Tshidiso Maruping,Match Report,
2023-10-04,19:30,Richards Bay FC,0–1,Polokwane City,,King Goodwill Zwelithini Stadium,Thabo khabela,Match Report,
2023-10-05,19:30,Sekhukhune United FC,0–1,Golden Arrows,,Peter Mokaba Stadium,Facundo Andújar,Match Report,
2023-10-08,15:30,Sekhukhune United FC,0–0,Polokwane City,,Peter Mokaba Stadium,Jelly Chavani,Match Report,
2023-10-24,19:30,AmaZulu,0–0,Orlando Pirates,,Moses Mabhida Stadium,Olani Kwinda,Match Report,
2023-10-26,19:30,SuperSport,3–1,Royal Eagles FC,,TUT Stadium,Jelly Chavani,Match Report,
2023-10-27,19:30,Orlando Pirates,1–1,Polokwane City,,Orlando Stadium,Masixole Bambiso,Match Report,
2023-10-28,15:30,Golden Arrows,2–1,Kaizer Chiefs,,Mpumalanga Town Stadium,Abongile Tom,Match Report,
2023-10-28,17:45,Chippa Utd,1–1,AmaZulu,,Nelson Mandela Bay Stadium,Facundo Andújar,Match Report,
2023-10-29,15:30,Richards Bay FC,1–3,Cape Town City,,King Goodwill Zwelithini Stadium,Moreki Lekwape,Match Report,
2023-10-29,15:30,TS Galaxy,2–0,Sekhukhune United FC,,Mbombela Stadium,Sikhumbuzo Gasa,Match Report,
2023-11-01,18:00,TS Galaxy,2–3,SuperSport,,Mbombela Stadium,Olani Kwinda,Match Report,
2023-11-01,19:30,Ajax Cape Town,2–1,Orlando Pirates,,Athlone Stadium,Facundo Andújar,Match Report,
2023-11-07,19:30,Orlando Pirates,1–0,Sekhukhune United FC,,Orlando Stadium,Jelly Chavani,Match Report,
2023-11-07,19:30,Royal Eagles FC,1–0,Golden Arrows,,Harry Gwala Stadium,Luxolo Badi,Match Report,
