date,home_team,away_team,home_goals,away_goals
2021-08-25,AmaZulu,Moroka Swallows,0,0
2021-08-25,Maritzburg Utd,Sekhukhune United FC,0,2
2021-08-25,Stellenbosch FC,TS Galaxy,1,0
2021-08-25,Royal Eagles FC,Cape Town City,1,2
2021-08-25,Kaizer Chiefs,Baroka FC,2,1
2021-09-11,TS Galaxy,Golden Arrows,2,2
2021-09-11,Orlando Pirates,Moroka Swallows,1,0
2021-09-11,Sekhukhune United FC,Stellenbosch FC,1,1
2021-09-11,Baroka FC,Maritzburg Utd,0,1
2021-09-12,Royal Eagles FC,Chippa Utd,1,0
2021-09-12,Sundowns,Kaizer Chiefs,2,0
2021-09-14,AmaZulu,SuperSport,0,0
2021-09-18,Chippa Utd,Orlando Pirates,1,3
2021-09-18,Cape Town City,Stellenbosch FC,0,3
2021-09-18,Baroka FC,Sekhukhune United FC,1,0
2021-09-18,Kaizer Chiefs,Royal Eagles FC,1,4
2021-09-19,Moroka Swallows,SuperSport,0,3
2021-09-19,Sundowns,TS Galaxy,3,0
2021-09-22,Golden Arrows,AmaZulu,2,2
2021-09-22,Maritzburg Utd,Marumo Gallants FC,1,0
2021-09-24,Moroka Swallows,Cape Town City,0,0
2021-09-25,Sekhukhune United FC,Golden Arrows,1,1
2021-09-25,AmaZulu,Baroka FC,1,0
2021-09-25,Orlando Pirates,Sundowns,0,2
2021-09-25,Stellenbosch FC,Chippa Utd,2,1
2021-09-25,SuperSport,Maritzburg Utd,2,1
2021-09-26,Royal Eagles FC,TS Galaxy,4,2
2021-09-26,Marumo Gallants FC,Kaizer Chiefs,0,0
2021-10-02,Chippa Utd,SuperSport,0,0
2021-10-02,TS Galaxy,Sekhukhune United FC,0,1
2021-10-02,AmaZulu,Kaizer Chiefs,1,1
2021-10-02,Baroka FC,Stellenbosch FC,1,1
2021-10-02,Cape Town City,Orlando Pirates,1,1
2021-10-03,Royal Eagles FC,Maritzburg Utd,2,1
2021-10-03,Golden Arrows,Marumo Gallants FC,3,1
2021-10-03,Sundowns,Moroka Swallows,3,0
2021-10-16,Sekhukhune United FC,Cape Town City,1,0
2021-10-16,SuperSport,Baroka FC,2,0
2021-10-16,Kaizer Chiefs,Chippa Utd,4,0
2021-10-17,Moroka Swallows,Stellenbosch FC,1,1
2021-10-19,Marumo Gallants FC,Royal Eagles FC,2,2
2021-10-19,TS Galaxy,AmaZulu,0,1
2021-10-20,Golden Arrows,Sundowns,0,1
2021-10-20,Maritzburg Utd,Orlando Pirates,0,0
2021-10-23,Maritzburg Utd,TS Galaxy,1,0
2021-10-23,Cape Town City,Golden Arrows,4,3
2021-10-24,Chippa Utd,Moroka Swallows,0,0
2021-10-24,SuperSport,Kaizer Chiefs,1,2
2021-10-27,Stellenbosch FC,Marumo Gallants FC,1,0
2021-10-27,Sekhukhune United FC,AmaZulu,2,0
2021-10-28,Orlando Pirates,Royal Eagles FC,1,1
2021-11-02,Kaizer Chiefs,Stellenbosch FC,0,1
2021-11-02,TS Galaxy,Baroka FC,2,1
2021-11-02,Golden Arrows,Moroka Swallows,0,0
2021-11-02,Royal Eagles FC,SuperSport,2,1
2021-11-02,Orlando Pirates,Sekhukhune United FC,2,1
2021-11-03,Cape Town City,Chippa Utd,1,0
2021-11-03,Sundowns,Maritzburg Utd,1,0
2021-11-04,AmaZulu,Marumo Gallants FC,0,0
2021-11-05,SuperSport,TS Galaxy,2,1
2021-11-06,Kaizer Chiefs,Orlando Pirates,2,1
2021-11-06,Stellenbosch FC,Golden Arrows,0,0
2021-11-07,Chippa Utd,Maritzburg Utd,0,0
2021-11-07,Moroka Swallows,Sekhukhune United FC,0,1
2021-11-07,Royal Eagles FC,Baroka FC,1,1
2021-11-07,Marumo Gallants FC,Sundowns,0,4
2021-11-07,AmaZulu,Cape Town City,2,0
2021-11-20,Golden Arrows,Orlando Pirates,0,0
2021-11-20,Stellenbosch FC,AmaZulu,2,2
2021-11-20,Baroka FC,Chippa Utd,0,1
2021-11-20,SuperSport,Marumo Gallants FC,1,2
2021-11-20,Sekhukhune United FC,Royal Eagles FC,1,0
2021-11-20,Cape Town City,Sundowns,0,0
2021-11-21,TS Galaxy,Moroka Swallows,1,0
2021-11-21,Maritzburg Utd,Kaizer Chiefs,0,1
2021-11-24,Marumo Gallants FC,Maritzburg Utd,0,0
2021-11-24,Kaizer Chiefs,AmaZulu,1,1
2021-11-24,Stellenbosch FC,Orlando Pirates,0,3
2021-11-24,Sundowns,SuperSport,2,2
2021-11-27,Sundowns,Sekhukhune United FC,2,0
2021-11-27,TS Galaxy,Cape Town City,2,2
2021-11-28,Golden Arrows,Baroka FC,3,2
2021-11-28,Royal Eagles FC,Stellenbosch FC,1,0
2021-11-28,Moroka Swallows,Kaizer Chiefs,1,3
2021-11-28,Maritzburg Utd,AmaZulu,1,1
2021-12-01,Marumo Gallants FC,TS Galaxy,3,1
2021-12-02,Orlando Pirates,Baroka FC,0,0
2021-12-04,AmaZulu,Royal Eagles FC,0,0
2021-12-04,Chippa Utd,Golden Arrows,1,2
2021-12-04,Moroka Swallows,Maritzburg Utd,1,1
2021-12-04,Stellenbosch FC,Sundowns,1,1
2021-12-05,SuperSport,Sekhukhune United FC,0,1
2021-12-07,TS Galaxy,Chippa Utd,3,1
2021-12-07,Cape Town City,Maritzburg Utd,3,2
2021-12-08,Sundowns,Royal Eagles FC,3,2
2021-12-08,Sekhukhune United FC,Marumo Gallants FC,0,1
2021-12-08,Baroka FC,Moroka Swallows,0,1
2021-12-08,Stellenbosch FC,SuperSport,0,1
2021-12-08,AmaZulu,Orlando Pirates,1,1
2021-12-11,Moroka Swallows,Marumo Gallants FC,0,1
2021-12-11,Chippa Utd,AmaZulu,1,1
2021-12-11,Baroka FC,Cape Town City,0,0
2021-12-11,Orlando Pirates,TS Galaxy,2,0
2021-12-11,SuperSport,Sundowns,0,1
2021-12-12,Royal Eagles FC,Golden Arrows,0,0
2021-12-12,Maritzburg Utd,Stellenbosch FC,0,0
2021-12-12,Kaizer Chiefs,Sekhukhune United FC,2,0
2021-12-14,AmaZulu,Chippa Utd,2,2
2021-12-14,Marumo Gallants FC,Cape Town City,0,0
2021-12-14,Sundowns,Baroka FC,2,1
2021-12-14,Moroka Swallows,Orlando Pirates,1,1
2021-12-17,Marumo Gallants FC,AmaZulu,0,1
2021-12-17,Sundowns,Orlando Pirates,4,1
2021-12-18,Stellenbosch FC,Baroka FC,1,0
2021-12-18,Golden Arrows,TS Galaxy,1,1
2021-12-18,Sekhukhune United FC,SuperSport,0,0
2021-12-18,Cape Town City,Moroka Swallows,2,1
2021-12-19,Royal Eagles FC,Kaizer Chiefs,1,0
2021-12-19,Maritzburg Utd,Chippa Utd,0,2
2021-12-20,Orlando Pirates,Marumo Gallants FC,2,1
2021-12-20,AmaZulu,Sundowns,1,0
2021-12-22,TS Galaxy,Stellenbosch FC,0,1
2021-12-22,Baroka FC,Royal Eagles FC,1,0
2021-12-22,Chippa Utd,Sekhukhune United FC,0,0
2021-12-22,Moroka Swallows,Golden Arrows,2,2
2021-12-22,SuperSport,Cape Town City,3,2
2021-12-22,Kaizer Chiefs,Maritzburg Utd,2,0
2021-12-23,Sundowns,Marumo Gallants FC,1,1
2021-12-23,Orlando Pirates,AmaZulu,2,1
2022-02-07,Sundowns,Chippa Utd,2,0
2022-02-14,Baroka FC,Sundowns,1,1
2022-02-15,Royal Eagles FC,Sekhukhune United FC,1,0
2022-02-15,Cape Town City,Kaizer Chiefs,0,0
2022-02-15,Maritzburg Utd,SuperSport,2,1
2022-02-16,Stellenbosch FC,Moroka Swallows,1,1
2022-02-16,Orlando Pirates,Golden Arrows,0,0
2022-02-19,Chippa Utd,Royal Eagles FC,2,2
2022-02-19,Moroka Swallows,TS Galaxy,0,1
2022-02-20,Golden Arrows,Cape Town City,0,1
2022-02-20,Sekhukhune United FC,Baroka FC,4,0
2022-02-22,AmaZulu,TS Galaxy,0,0
2022-02-25,Maritzburg Utd,Golden Arrows,1,2
2022-02-26,Chippa Utd,Marumo Gallants FC,2,3
2022-02-26,Sekhukhune United FC,Moroka Swallows,0,1
2022-02-26,Baroka FC,Kaizer Chiefs,0,1
2022-02-27,SuperSport,Royal Eagles FC,0,2
2022-03-02,Marumo Gallants FC,Baroka FC,3,0
2022-03-02,Orlando Pirates,Cape Town City,0,0
2022-03-02,AmaZulu,Stellenbosch FC,2,2
2022-03-02,TS Galaxy,Sundowns,0,3
2022-03-05,Baroka FC,TS Galaxy,1,0
2022-03-05,Orlando Pirates,Kaizer Chiefs,1,2
2022-03-05,Cape Town City,Sekhukhune United FC,2,1
2022-03-05,SuperSport,AmaZulu,2,0
2022-03-05,Maritzburg Utd,Sundowns,2,1
2022-03-06,Golden Arrows,Chippa Utd,1,2
2022-03-06,Royal Eagles FC,Moroka Swallows,1,0
2022-03-06,Marumo Gallants FC,Stellenbosch FC,1,0
2022-03-16,Marumo Gallants FC,Chippa Utd,0,0
2022-03-16,Sekhukhune United FC,Maritzburg Utd,1,1
2022-03-16,Orlando Pirates,SuperSport,3,2
2022-03-19,TS Galaxy,SuperSport,1,1
2022-03-19,Cape Town City,Marumo Gallants FC,1,0
2022-03-19,Kaizer Chiefs,Golden Arrows,0,1
2022-03-20,Stellenbosch FC,Royal Eagles FC,2,2
2022-04-02,TS Galaxy,Royal Eagles FC,1,4
2022-04-02,Stellenbosch FC,Sekhukhune United FC,1,1
2022-04-02,Chippa Utd,Kaizer Chiefs,1,3
2022-04-02,Golden Arrows,SuperSport,3,2
2022-04-03,Cape Town City,Baroka FC,5,1
2022-04-05,SuperSport,Chippa Utd,1,1
2022-04-05,Kaizer Chiefs,TS Galaxy,0,0
2022-04-06,Golden Arrows,Stellenbosch FC,0,2
2022-04-06,Royal Eagles FC,Marumo Gallants FC,2,0
2022-04-06,Baroka FC,AmaZulu,0,1
2022-04-06,Sekhukhune United FC,Orlando Pirates,0,1
2022-04-06,Moroka Swallows,Sundowns,2,4
2022-04-06,Maritzburg Utd,Cape Town City,0,1
2022-04-12,Sundowns,Golden Arrows,6,0
2022-04-12,Baroka FC,Orlando Pirates,0,0
2022-04-12,Maritzburg Utd,Moroka Swallows,1,1
2022-04-16,Sekhukhune United FC,TS Galaxy,0,1
2022-04-16,AmaZulu,Maritzburg Utd,1,0
2022-04-16,Cape Town City,Royal Eagles FC,1,1
2022-04-16,Kaizer Chiefs,SuperSport,0,1
2022-04-17,Chippa Utd,Stellenbosch FC,1,0
2022-04-17,Marumo Gallants FC,Moroka Swallows,1,1
2022-04-23,TS Galaxy,Maritzburg Utd,1,1
2022-04-23,Golden Arrows,Sekhukhune United FC,0,0
2022-04-23,Stellenbosch FC,Kaizer Chiefs,1,0
2022-04-23,Marumo Gallants FC,SuperSport,0,0
2022-04-24,Moroka Swallows,Baroka FC,3,2
2022-04-24,Royal Eagles FC,AmaZulu,0,0
2022-04-27,Golden Arrows,Kaizer Chiefs,2,1
2022-04-27,Orlando Pirates,Chippa Utd,0,0
2022-04-27,Sundowns,Cape Town City,0,0
2022-04-30,Kaizer Chiefs,Cape Town City,1,2
2022-05-02,TS Galaxy,Orlando Pirates,1,0
2022-05-03,SuperSport,Stellenbosch FC,0,0
2022-05-03,Moroka Swallows,AmaZulu,0,1
2022-05-03,Sekhukhune United FC,Sundowns,0,2
2022-05-03,Kaizer Chiefs,Marumo Gallants FC,1,0
2022-05-04,Chippa Utd,Cape Town City,0,0
2022-05-04,Baroka FC,Golden Arrows,1,0
2022-05-04,Maritzburg Utd,Royal Eagles FC,1,0
2022-05-06,SuperSport,Moroka Swallows,2,2
2022-05-07,Chippa Utd,Baroka FC,2,2
2022-05-07,Marumo Gallants FC,Golden Arrows,0,0
2022-05-07,AmaZulu,Sekhukhune United FC,0,0
2022-05-07,Stellenbosch FC,Maritzburg Utd,1,1
2022-05-07,Cape Town City,TS Galaxy,2,0
2022-05-08,Kaizer Chiefs,Sundowns,1,1
2022-05-14,TS Galaxy,Marumo Gallants FC,0,0
2022-05-14,Moroka Swallows,Chippa Utd,0,0
2022-05-14,Golden Arrows,Royal Eagles FC,2,2
2022-05-14,Cape Town City,AmaZulu,0,0
2022-05-14,Sundowns,Stellenbosch FC,0,3
2022-05-14,Baroka FC,SuperSport,3,1
2022-05-14,Sekhukhune United FC,Kaizer Chiefs,0,1
2022-05-21,Maritzburg Utd,Baroka FC,1,0
2022-05-21,Marumo Gallants FC,Sekhukhune United FC,2,2
2022-05-21,Chippa Utd,TS Galaxy,0,1
2022-05-21,Kaizer Chiefs,Moroka Swallows,2,2
2022-05-21,Stellenbosch FC,Cape Town City,1,0
2022-05-23,Royal Eagles FC,Sundowns,2,3
2022-05-24,AmaZulu,Golden Arrows,1,2
2022-05-24,Orlando Pirates,Maritzburg Utd,4,1
2022-05-27,Royal Eagles FC,Orlando Pirates,2,2
2022-05-30,SuperSport,Orlando Pirates,2,0
2022-08-05,Cape Town City,Sundowns,0,2
2022-08-06,Golden Arrows,Richards Bay FC,0,2
2022-08-06,Marumo Gallants FC,Stellenbosch FC,0,0
2022-08-06,Orlando Pirates,Moroka Swallows,1,0
2022-08-06,Royal Eagles FC,Kaizer Chiefs,1,0
2022-08-06,Maritzburg Utd,Sekhukhune United FC,1,1
2022-08-07,TS Galaxy,AmaZulu,0,0
2022-08-07,SuperSport,Chippa Utd,1,1
2022-08-09,Richards Bay FC,Marumo Gallants FC,0,0
2022-08-09,Moroka Swallows,Cape Town City,3,2
2022-08-09,Kaizer Chiefs,Maritzburg Utd,3,0
2022-08-10,AmaZulu,SuperSport,2,1
2022-08-10,Chippa Utd,Royal Eagles FC,1,3
2022-08-10,Sekhukhune United FC,Golden Arrows,1,0
2022-08-10,Stellenbosch FC,Orlando Pirates,1,1
2022-08-10,Sundowns,TS Galaxy,0,1
2022-08-12,Maritzburg Utd,Moroka Swallows,0,0
2022-08-13,Sundowns,Kaizer Chiefs,4,0
2022-08-13,Stellenbosch FC,Royal Eagles FC,3,1
2022-08-13,Marumo Gallants FC,Golden Arrows,1,1
2022-08-13,Richards Bay FC,Sekhukhune United FC,1,0
2022-08-13,AmaZulu,Cape Town City,2,1
2022-08-14,Orlando Pirates,Chippa Utd,0,1
2022-08-14,TS Galaxy,SuperSport,2,0
2022-08-16,Cape Town City,Maritzburg Utd,0,0
2022-08-17,Royal Eagles FC,Orlando Pirates,0,1
2022-08-19,Moroka Swallows,AmaZulu,2,3
2022-08-20,Golden Arrows,TS Galaxy,0,0
2022-08-20,Sekhukhune United FC,Sundowns,1,1
2022-08-20,Cape Town City,Stellenbosch FC,1,1
2022-08-20,Maritzburg Utd,Chippa Utd,2,1
2022-08-20,Kaizer Chiefs,Richards Bay FC,1,0
2022-08-21,Royal Eagles FC,Marumo Gallants FC,2,2
2022-08-21,SuperSport,Orlando Pirates,0,0
2022-08-23,Moroka Swallows,Sekhukhune United FC,2,1
2022-08-23,Cape Town City,Kaizer Chiefs,2,0
2022-08-24,Sundowns,Stellenbosch FC,3,0
2022-08-24,AmaZulu,Golden Arrows,0,1
2022-08-24,Chippa Utd,TS Galaxy,0,0
2022-08-24,Orlando Pirates,Marumo Gallants FC,1,0
2022-08-24,Richards Bay FC,SuperSport,0,1
2022-08-24,Royal Eagles FC,Maritzburg Utd,1,0
2022-09-02,SuperSport,Sundowns,2,1
2022-09-03,Golden Arrows,Chippa Utd,3,2
2022-09-03,Stellenbosch FC,Richards Bay FC,1,2
2022-09-03,Kaizer Chiefs,AmaZulu,0,0
2022-09-03,Sekhukhune United FC,Royal Eagles FC,1,2
2022-09-03,TS Galaxy,Cape Town City,0,1
2022-09-04,Marumo Gallants FC,Moroka Swallows,1,1
2022-09-04,Maritzburg Utd,Orlando Pirates,1,0
2022-09-06,Royal Eagles FC,Richards Bay FC,0,1
2022-09-06,Cape Town City,Sekhukhune United FC,0,0
2022-09-07,Chippa Utd,Sundowns,0,1
2022-09-09,Maritzburg Utd,SuperSport,1,2
2022-09-10,Moroka Swallows,Stellenbosch FC,1,2
2022-09-10,AmaZulu,Chippa Utd,1,2
2022-09-10,Orlando Pirates,TS Galaxy,2,0
2022-09-10,Sundowns,Golden Arrows,2,1
2022-09-11,Marumo Gallants FC,Kaizer Chiefs,1,1
2022-09-17,Chippa Utd,Marumo Gallants FC,1,0
2022-09-17,Golden Arrows,Moroka Swallows,4,0
2022-09-17,Sekhukhune United FC,Stellenbosch FC,1,1
2022-09-17,Kaizer Chiefs,SuperSport,2,1
2022-09-18,Sundowns,AmaZulu,1,0
2022-09-18,Richards Bay FC,TS Galaxy,0,0
2022-10-04,Sekhukhune United FC,Orlando Pirates,2,0
2022-10-04,Golden Arrows,Cape Town City,1,1
2022-10-04,TS Galaxy,Marumo Gallants FC,0,1
2022-10-04,Stellenbosch FC,Maritzburg Utd,3,0
2022-10-04,SuperSport,Royal Eagles FC,3,1
2022-10-05,AmaZulu,Richards Bay FC,0,1
2022-10-05,Moroka Swallows,Kaizer Chiefs,1,2
2022-10-07,SuperSport,Sekhukhune United FC,3,1
2022-10-08,TS Galaxy,Moroka Swallows,0,0
2022-10-08,Orlando Pirates,Richards Bay FC,0,0
2022-10-09,Stellenbosch FC,Kaizer Chiefs,1,3
2022-10-14,Orlando Pirates,AmaZulu,1,1
2022-10-14,Golden Arrows,Stellenbosch FC,1,1
2022-10-15,Richards Bay FC,Maritzburg Utd,0,0
2022-10-15,Kaizer Chiefs,Chippa Utd,1,2
2022-10-18,Chippa Utd,Sekhukhune United FC,1,0
2022-10-18,Stellenbosch FC,SuperSport,0,2
2022-10-18,Golden Arrows,Orlando Pirates,0,2
2022-10-19,AmaZulu,Maritzburg Utd,1,1
2022-10-19,Richards Bay FC,Cape Town City,1,0
2022-10-19,Moroka Swallows,Royal Eagles FC,2,0
2022-10-19,Kaizer Chiefs,TS Galaxy,2,2
2022-10-19,Sundowns,Marumo Gallants FC,1,0
2022-10-25,Royal Eagles FC,Golden Arrows,3,1
2022-10-25,Maritzburg Utd,Sundowns,0,5
2022-10-25,Cape Town City,Chippa Utd,2,1
2022-10-26,Marumo Gallants FC,AmaZulu,0,0
2022-10-28,Maritzburg Utd,Golden Arrows,0,2
2022-10-29,Orlando Pirates,Kaizer Chiefs,0,1
2022-10-29,Marumo Gallants FC,Cape Town City,2,1
2022-10-29,Royal Eagles FC,Sundowns,0,3
2022-10-30,TS Galaxy,Sekhukhune United FC,1,1
2022-10-30,Chippa Utd,Richards Bay FC,3,3
2022-10-30,AmaZulu,Stellenbosch FC,1,0
2022-10-30,SuperSport,Moroka Swallows,1,1
2022-12-30,Sundowns,Orlando Pirates,2,0
2022-12-30,Stellenbosch FC,Chippa Utd,1,1
2022-12-30,Cape Town City,Royal Eagles FC,2,1
2022-12-30,Maritzburg Utd,TS Galaxy,1,2
2022-12-30,SuperSport,Marumo Gallants FC,1,0
2022-12-31,Richards Bay FC,Moroka Swallows,1,0
2022-12-31,Golden Arrows,Kaizer Chiefs,0,2
2022-12-31,Sekhukhune United FC,AmaZulu,0,0
2023-01-03,Cape Town City,SuperSport,0,1
2023-01-03,Sundowns,Moroka Swallows,2,0
2023-01-03,Sekhukhune United FC,Marumo Gallants FC,3,2
2023-01-03,Royal Eagles FC,TS Galaxy,0,0
2023-01-06,Moroka Swallows,Chippa Utd,2,0
2023-01-06,Richards Bay FC,Sundowns,0,2
2023-01-07,Golden Arrows,SuperSport,2,1
2023-01-07,Marumo Gallants FC,Maritzburg Utd,0,1
2023-01-07,Cape Town City,Orlando Pirates,2,1
2023-01-07,Kaizer Chiefs,Sekhukhune United FC,0,1
2023-01-08,Royal Eagles FC,AmaZulu,2,0
2023-01-08,TS Galaxy,Stellenbosch FC,0,0
2023-01-10,Sundowns,Chippa Utd,2,1
2023-01-11,Stellenbosch FC,Marumo Gallants FC,1,1
2023-01-13,AmaZulu,Kaizer Chiefs,4,0
2023-01-14,Marumo Gallants FC,Richards Bay FC,0,2
2023-01-14,Orlando Pirates,Golden Arrows,3,1
2023-01-14,Stellenbosch FC,Sekhukhune United FC,0,1
2023-01-14,Chippa Utd,Cape Town City,1,1
2023-01-15,Moroka Swallows,TS Galaxy,0,0
2023-01-15,Maritzburg Utd,Royal Eagles FC,3,1
2023-01-16,Sundowns,SuperSport,1,0
2023-01-20,Sekhukhune United FC,Moroka Swallows,1,0
2023-01-20,Cape Town City,TS Galaxy,1,0
2023-01-21,Golden Arrows,Maritzburg Utd,0,1
2023-01-21,Royal Eagles FC,Chippa Utd,1,1
2023-01-21,Kaizer Chiefs,Sundowns,0,1
2023-01-21,AmaZulu,Marumo Gallants FC,1,1
2023-01-22,Orlando Pirates,Stellenbosch FC,4,1
2023-01-22,SuperSport,Richards Bay FC,1,1
2023-01-24,TS Galaxy,Sundowns,1,2
2023-01-25,Golden Arrows,Marumo Gallants FC,3,2
2023-01-27,Stellenbosch FC,Cape Town City,3,2
2023-01-28,Sundowns,Sekhukhune United FC,2,0
2023-01-28,Moroka Swallows,SuperSport,0,0
2023-01-28,Marumo Gallants FC,Orlando Pirates,0,2
2023-01-29,Chippa Utd,Maritzburg Utd,1,0
2023-01-29,Richards Bay FC,AmaZulu,1,1
2023-01-29,Kaizer Chiefs,Royal Eagles FC,2,0
2023-01-29,TS Galaxy,Golden Arrows,4,0
2023-02-03,Moroka Swallows,Richards Bay FC,1,0
2023-02-03,Maritzburg Utd,AmaZulu,1,1
2023-02-04,Golden Arrows,Royal Eagles FC,1,2
2023-02-04,Orlando Pirates,Sundowns,0,1
2023-02-04,Chippa Utd,Stellenbosch FC,1,2
2023-02-04,SuperSport,Cape Town City,2,0
2023-02-04,Marumo Gallants FC,Sekhukhune United FC,2,0
2023-02-05,TS Galaxy,Kaizer Chiefs,0,0
2023-02-17,Orlando Pirates,Maritzburg Utd,2,1
2023-02-18,Royal Eagles FC,SuperSport,1,1
2023-02-18,Sekhukhune United FC,Richards Bay FC,2,0
2023-02-18,AmaZulu,TS Galaxy,1,2
2023-02-19,Kaizer Chiefs,Golden Arrows,2,3
2023-02-19,Cape Town City,Moroka Swallows,2,0
2023-02-24,SuperSport,Maritzburg Utd,2,0
2023-02-25,Kaizer Chiefs,Orlando Pirates,1,0
2023-02-25,Richards Bay FC,Stellenbosch FC,1,2
2023-02-25,Sekhukhune United FC,Cape Town City,0,1
2023-02-25,AmaZulu,Royal Eagles FC,1,1
2023-02-26,Chippa Utd,Moroka Swallows,1,2
2023-03-03,Moroka Swallows,Orlando Pirates,1,4
2023-03-04,Richards Bay FC,Kaizer Chiefs,0,1
2023-03-04,Royal Eagles FC,Sekhukhune United FC,2,0
2023-03-04,Maritzburg Utd,Cape Town City,1,2
2023-03-05,Stellenbosch FC,Sundowns,1,1
2023-03-05,Marumo Gallants FC,TS Galaxy,0,0
2023-03-05,Chippa Utd,AmaZulu,0,2
2023-03-05,SuperSport,Golden Arrows,2,1
2023-03-14,Cape Town City,Marumo Gallants FC,2,2
2023-03-14,Sundowns,Royal Eagles FC,5,1
2023-03-17,Stellenbosch FC,AmaZulu,2,0
2023-03-17,Moroka Swallows,Golden Arrows,0,1
2023-03-18,Sekhukhune United FC,Chippa Utd,1,1
2023-03-18,Orlando Pirates,SuperSport,1,0
2023-03-18,Maritzburg Utd,Kaizer Chiefs,2,3
2023-03-19,TS Galaxy,Richards Bay FC,4,0
2023-04-01,Richards Bay FC,Orlando Pirates,0,2
2023-04-01,Kaizer Chiefs,Stellenbosch FC,2,1
2023-04-01,Chippa Utd,SuperSport,1,1
2023-04-01,AmaZulu,Moroka Swallows,0,1
2023-04-02,Golden Arrows,Sekhukhune United FC,0,0
2023-04-02,TS Galaxy,Maritzburg Utd,1,2
2023-04-04,Sundowns,Cape Town City,0,0
2023-04-05,Marumo Gallants FC,Royal Eagles FC,3,1
2023-04-07,SuperSport,TS Galaxy,2,0
2023-04-08,Richards Bay FC,Golden Arrows,0,1
2023-04-08,Chippa Utd,Orlando Pirates,0,2
2023-04-08,Sekhukhune United FC,Maritzburg Utd,1,0
2023-04-08,Kaizer Chiefs,Marumo Gallants FC,1,1
2023-04-09,Royal Eagles FC,Stellenbosch FC,3,1
2023-04-09,Moroka Swallows,Sundowns,0,0
2023-04-09,Cape Town City,AmaZulu,2,2
2023-04-12,Marumo Gallants FC,Chippa Utd,3,1
2023-04-12,Golden Arrows,Sundowns,1,1
2023-04-18,Marumo Gallants FC,SuperSport,0,0
2023-04-21,Maritzburg Utd,Richards Bay FC,1,1
2023-04-22,Orlando Pirates,Cape Town City,2,1
2023-04-22,TS Galaxy,Royal Eagles FC,1,1
2023-04-22,Stellenbosch FC,Moroka Swallows,3,0
2023-04-23,Sekhukhune United FC,Kaizer Chiefs,1,0
2023-04-23,SuperSport,AmaZulu,2,1
2023-04-25,Sundowns,Richards Bay FC,1,0
2023-04-27,Chippa Utd,Kaizer Chiefs,0,1
2023-04-27,Moroka Swallows,Maritzburg Utd,1,0
2023-04-29,Royal Eagles FC,Cape Town City,1,2
2023-04-29,Stellenbosch FC,Golden Arrows,5,2
2023-04-29,AmaZulu,Sekhukhune United FC,2,0
2023-04-30,TS Galaxy,Orlando Pirates,1,2
2023-05-01,Kaizer Chiefs,Moroka Swallows,1,2
2023-05-02,SuperSport,Stellenbosch FC,0,0
2023-05-03,Orlando Pirates,Royal Eagles FC,1,1
2023-05-03,Sekhukhune United FC,TS Galaxy,1,1
2023-05-03,AmaZulu,Sundowns,2,2
2023-05-03,Cape Town City,Golden Arrows,0,0
2023-05-03,Maritzburg Utd,Marumo Gallants FC,2,2
2023-05-03,Richards Bay FC,Chippa Utd,2,3
2023-05-06,Marumo Gallants FC,Sundowns,0,2
2023-05-13,Orlando Pirates,Sekhukhune United FC,1,1
2023-05-13,SuperSport,Kaizer Chiefs,1,0
2023-05-13,Maritzburg Utd,Stellenbosch FC,1,0
2023-05-13,Cape Town City,Richards Bay FC,2,0
2023-05-13,Royal Eagles FC,Moroka Swallows,0,1
2023-05-13,Golden Arrows,AmaZulu,1,0
2023-05-13,TS Galaxy,Chippa Utd,4,0
2023-05-16,Sundowns,Maritzburg Utd,1,1
2023-05-20,Richards Bay FC,Royal Eagles FC,0,0
2023-05-20,Stellenbosch FC,TS Galaxy,2,1
2023-05-20,Sekhukhune United FC,SuperSport,1,0
2023-05-20,AmaZulu,Orlando Pirates,0,4
2023-05-20,Kaizer Chiefs,Cape Town City,0,1
2023-05-20,Moroka Swallows,Marumo Gallants FC,2,0
2023-05-20,Chippa Utd,Golden Arrows,0,0
2023-08-04,Sekhukhune United FC,Sundowns,1,2
2023-08-05,Golden Arrows,Moroka Swallows,1,1
2023-08-05,SuperSport,Richards Bay FC,2,0
2023-08-05,Royal Eagles FC,AmaZulu,0,0
2023-08-05,Stellenbosch FC,Orlando Pirates,1,0
2023-08-06,Kaizer Chiefs,Chippa Utd,0,0
2023-08-06,TS Galaxy,Ajax Cape Town,1,0
2023-08-06,Cape Town City,Polokwane City,1,0
2023-08-08,Richards Bay FC,Golden Arrows,1,2
2023-08-08,Orlando Pirates,Royal Eagles FC,4,2
2023-08-09,Moroka Swallows,Cape Town City,0,1
2023-08-09,Sundowns,Kaizer Chiefs,2,1
2023-08-09,AmaZulu,SuperSport,0,0
2023-08-09,Chippa Utd,TS Galaxy,0,0
2023-08-09,Ajax Cape Town,Sekhukhune United FC,0,2
2023-08-09,Polokwane City,Stellenbosch FC,1,0
2023-08-15,Sundowns,Golden Arrows,4,0
2023-08-15,Chippa Utd,Orlando Pirates,1,1
2023-08-16,Sekhukhune United FC,Moroka Swallows,1,2
2023-08-18,SuperSport,Cape Town City,1,0
2023-08-18,Royal Eagles FC,Stellenbosch FC,1,3
2023-08-19,Polokwane City,Ajax Cape Town,3,1
2023-08-19,AmaZulu,Richards Bay FC,0,0
2023-08-19,Chippa Utd,Sundowns,0,2
