,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,Ajax Cape Town,37,24.8,,30,330,2700,30.0,26,23,49,26,0,0,52,1,0.87,0.77,1.63,0.87,1.63
1,AmaZulu,30,26.4,,30,330,2700,30.0,27,17,44,24,3,4,53,5,0.9,0.57,1.47,0.8,1.37
2,Baroka FC,28,26.4,,30,330,2700,30.0,31,18,49,27,4,4,44,0,1.03,0.6,1.63,0.9,1.5
3,Bidvest Wits,35,27.9,,30,330,2700,30.0,27,18,45,25,2,5,68,2,0.9,0.6,1.5,0.83,1.43
4,Bloem Celtic,27,27.1,,30,330,2700,30.0,24,16,40,23,1,1,37,3,0.8,0.53,1.33,0.77,1.3
5,Cape Town City,30,26.7,,30,330,2700,30.0,24,17,41,21,3,3,57,1,0.8,0.57,1.37,0.7,1.27
6,Chippa Utd,33,26.9,,30,330,2700,30.0,27,20,47,26,1,2,47,3,0.9,0.67,1.57,0.87,1.53
7,Free State Stars,29,28.9,,30,330,2700,30.0,25,17,42,24,1,1,49,5,0.83,0.57,1.4,0.8,1.37
8,Golden Arrows,30,26.1,,30,330,2700,30.0,36,27,63,32,4,5,45,3,1.2,0.9,2.1,1.07,1.97
9,Kaizer Chiefs,30,27.5,,30,330,2700,30.0,27,25,52,27,0,0,51,3,0.9,0.83,1.73,0.9,1.73
10,Maritzburg Utd,26,25.1,,30,330,2700,30.0,35,30,65,34,1,2,57,1,1.17,1.0,2.17,1.13,2.13
11,Orlando Pirates,36,27.3,,30,330,2700,30.0,40,30,70,38,2,2,51,0,1.33,1.0,2.33,1.27,2.27
12,Platinum Stars,40,28.1,,30,330,2700,30.0,21,13,34,20,1,1,35,0,0.7,0.43,1.13,0.67,1.1
13,Polokwane City,29,28.0,,30,330,2700,30.0,31,21,52,30,1,1,45,1,1.03,0.7,1.73,1.0,1.7
14,Sundowns,33,28.3,,30,330,2700,30.0,49,34,83,42,7,7,44,1,1.63,1.13,2.77,1.4,2.53
15,SuperSport,32,28.2,,30,330,2700,30.0,25,19,44,22,3,5,48,2,0.83,0.63,1.47,0.73,1.37
