,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,AmaZulu,33,28.4,,30,330,2700,30.0,37,20,57,31,6,9,55,1,1.23,0.67,1.9,1.03,1.7
1,Baroka FC,28,25.9,,30,330,2700,30.0,25,14,39,25,0,0,47,3,0.83,0.47,1.3,0.83,1.3
2,Black Leopards,34,27.8,,30,330,2700,30.0,21,14,35,19,2,2,34,3,0.7,0.47,1.17,0.63,1.1
3,Bloem Celtic,32,28.0,,30,330,2700,30.0,30,23,53,25,5,6,45,5,1.0,0.77,1.77,0.83,1.6
4,Cape Town City,26,27.4,,30,330,2700,30.0,41,26,67,35,6,8,45,1,1.37,0.87,2.23,1.17,2.03
5,Chippa Utd,40,27.2,,30,330,2700,30.0,24,12,36,20,4,4,35,4,0.8,0.4,1.2,0.67,1.07
6,Golden Arrows,22,26.0,,30,330,2700,30.0,39,18,57,34,5,5,50,4,1.3,0.6,1.9,1.13,1.73
7,Kaizer Chiefs,30,28.0,,30,330,2700,30.0,31,19,50,29,2,4,58,4,1.03,0.63,1.67,0.97,1.6
8,Maritzburg Utd,33,28.0,,30,330,2700,30.0,26,16,42,23,3,3,50,4,0.87,0.53,1.4,0.77,1.3
9,Moroka Swallows,32,29.0,,30,330,2700,30.0,29,15,44,23,6,6,41,3,0.97,0.5,1.47,0.77,1.27
10,Orlando Pirates,31,28.4,,30,330,2700,30.0,31,22,53,29,2,3,54,1,1.03,0.73,1.77,0.97,1.7
11,Stellenbosch FC,28,27.1,,30,330,2700,30.0,26,22,48,24,2,2,52,0,0.87,0.73,1.6,0.8,1.53
12,Sundowns,35,28.5,,30,330,2700,30.0,49,36,85,45,4,6,46,1,1.63,1.2,2.83,1.5,2.7
13,SuperSport,26,26.2,,30,330,2700,30.0,36,26,62,34,2,2,47,2,1.2,0.87,2.07,1.13,2.0
14,TS Galaxy,35,27.6,,30,330,2700,30.0,25,15,40,22,3,8,50,2,0.83,0.5,1.33,0.73,1.23
15,TTM FC,30,29.5,,30,330,2700,30.0,19,8,27,15,4,6,51,4,0.63,0.27,0.9,0.5,0.77
