,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,AmaZulu,35,28.9,,30,330,2700,30.0,23,14,37,21,2,3,52,3,0.77,0.47,1.23,0.7,1.17
1,Baroka FC,32,26.9,,30,330,2700,30.0,22,15,37,19,3,6,60,4,0.73,0.5,1.23,0.63,1.13
2,Cape Town City,28,27.9,,30,330,2700,30.0,30,15,45,24,6,6,61,3,1.0,0.5,1.5,0.8,1.3
3,Chippa Utd,33,27.4,,30,330,2700,30.0,22,15,37,22,0,1,40,1,0.73,0.5,1.23,0.73,1.23
4,Golden Arrows,30,25.7,,30,330,2700,30.0,35,14,49,26,9,12,37,0,1.17,0.47,1.63,0.87,1.33
5,Kaizer Chiefs,31,28.7,,30,330,2700,30.0,33,25,58,31,2,4,57,3,1.1,0.83,1.93,1.03,1.87
6,Maritzburg Utd,32,28.4,,30,330,2700,30.0,21,15,36,19,2,2,41,3,0.7,0.5,1.2,0.63,1.13
7,Marumo Gallants FC,33,29.7,,30,286,2700,30.0,21,6,27,16,5,5,41,1,0.7,0.2,0.9,0.53,0.73
8,Moroka Swallows,37,28.0,,30,330,2700,30.0,22,12,34,18,4,4,36,0,0.73,0.4,1.13,0.6,1.0
9,Orlando Pirates,35,28.1,,30,330,2700,30.0,34,25,59,31,3,4,57,2,1.13,0.83,1.97,1.03,1.87
10,Royal Eagles FC,41,30.4,,30,330,2700,30.0,42,21,63,36,6,7,49,2,1.4,0.7,2.1,1.2,1.9
11,Sekhukhune United FC,37,28.7,,30,330,2700,30.0,21,15,36,20,1,1,48,2,0.7,0.5,1.2,0.67,1.17
12,Stellenbosch FC,27,26.4,,30,330,2700,30.0,30,20,50,29,1,2,47,2,1.0,0.67,1.67,0.97,1.63
13,Sundowns,37,28.8,,30,330,2700,30.0,56,42,98,54,2,3,40,2,1.87,1.4,3.27,1.8,3.2
14,SuperSport,29,26.2,,30,330,2700,30.0,34,11,45,27,7,9,46,5,1.13,0.37,1.5,0.9,1.27
15,TS Galaxy,38,27.4,,30,330,2700,30.0,22,14,36,17,5,5,62,7,0.73,0.47,1.2,0.57,1.03
