,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,Ajax Cape Town,28,24.3,,30,330,2700,30.0,33,0,33,31,2,2,60,4,1.1,0.0,1.1,1.03,1.03
1,Bidvest Wits,30,27.4,,30,330,2700,30.0,43,0,43,43,0,0,69,4,1.43,0.0,1.43,1.43,1.43
2,Black Aces,29,27.6,,30,330,2700,30.0,37,0,37,34,3,3,59,1,1.23,0.0,1.23,1.13,1.13
3,Bloem Celtic,33,26.3,,30,330,2700,30.0,29,0,29,28,1,1,68,1,0.97,0.0,0.97,0.93,0.93
4,Chippa Utd,31,26.5,,30,330,2700,30.0,41,0,41,40,1,1,71,3,1.37,0.0,1.37,1.33,1.33
5,Free State Stars,34,27.2,,30,330,2700,30.0,28,0,28,26,2,2,53,2,0.93,0.0,0.93,0.87,0.87
6,Golden Arrows,36,25.0,,30,330,2700,30.0,28,0,28,25,3,3,64,5,0.93,0.0,0.93,0.83,0.83
7,Jomo Cosmos,33,25.3,,30,330,2700,30.0,20,0,20,17,3,3,62,2,0.67,0.0,0.67,0.57,0.57
8,Kaizer Chiefs,29,27.6,,30,330,2700,30.0,36,0,36,30,6,6,54,1,1.2,0.0,1.2,1.0,1.0
9,Maritzburg Utd,31,25.4,,30,330,2700,30.0,35,0,35,33,2,2,83,5,1.17,0.0,1.17,1.1,1.1
10,Orlando Pirates,31,27.0,,30,330,2700,30.0,37,0,37,36,1,1,69,2,1.23,0.0,1.23,1.2,1.2
11,Platinum Stars,30,28.8,,30,330,2700,30.0,40,0,40,37,3,3,55,3,1.33,0.0,1.33,1.23,1.23
12,Polokwane City,34,26.8,,30,330,2700,30.0,30,0,30,30,0,0,56,2,1.0,0.0,1.0,1.0,1.0
13,Sundowns,27,27.9,,30,330,2700,30.0,53,0,53,52,1,1,55,3,1.77,0.0,1.77,1.73,1.73
14,SuperSport,26,26.7,,30,330,2700,30.0,36,0,36,34,2,2,66,2,1.2,0.0,1.2,1.13,1.13
15,Univ Pretoria,28,26.7,,30,330,2700,30.0,25,0,25,25,0,0,67,4,0.83,0.0,0.83,0.83,0.83
