,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,Ajax Cape Town,31,24.7,,30,330,2700,30.0,28,0,28,27,1,1,56,3,0.93,0.0,0.93,0.9,0.9
1,Baroka FC,47,26.8,,30,330,2700,30.0,26,0,26,23,3,3,39,2,0.87,0.0,0.87,0.77,0.77
2,Bidvest Wits,29,27.5,,30,330,2700,30.0,47,0,47,41,6,6,54,4,1.57,0.0,1.57,1.37,1.37
3,Bloem Celtic,27,26.6,,30,330,2700,30.0,16,0,16,15,1,1,45,1,0.53,0.0,0.53,0.5,0.5
4,Cape Town City,27,26.9,,30,330,2700,30.0,45,0,45,43,2,2,57,3,1.5,0.0,1.5,1.43,1.43
5,Chippa Utd,33,26.7,,30,330,2700,30.0,27,0,27,24,3,3,34,3,0.9,0.0,0.9,0.8,0.8
6,Free State Stars,37,27.9,,30,330,2700,30.0,25,0,25,24,1,1,51,3,0.83,0.0,0.83,0.8,0.8
7,Golden Arrows,32,25.4,,30,330,2700,30.0,32,0,32,30,2,2,44,2,1.07,0.0,1.07,1.0,1.0
8,Highlands Park,35,28.4,,30,330,2700,30.0,26,0,26,22,4,4,52,0,0.87,0.0,0.87,0.73,0.73
9,Kaizer Chiefs,28,27.5,,30,330,2700,30.0,38,0,38,34,4,4,36,1,1.27,0.0,1.27,1.13,1.13
10,Maritzburg Utd,26,25.4,,30,330,2700,30.0,31,0,31,30,1,1,56,6,1.03,0.0,1.03,1.0,1.0
11,Orlando Pirates,35,27.5,,30,330,2700,30.0,28,0,28,26,2,2,36,1,0.93,0.0,0.93,0.87,0.87
12,Platinum Stars,35,28.3,,30,330,2700,30.0,33,0,33,32,1,1,46,5,1.1,0.0,1.1,1.07,1.07
13,Polokwane City,25,27.6,,30,330,2700,30.0,35,0,35,34,1,1,47,3,1.17,0.0,1.17,1.13,1.13
14,Sundowns,29,27.5,,30,330,2700,30.0,49,0,49,47,2,2,34,1,1.63,0.0,1.63,1.57,1.57
15,SuperSport,25,28.2,,30,330,2700,30.0,41,0,41,40,1,1,50,2,1.37,0.0,1.37,1.33,1.33
