,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,AmaZulu,31,27.1,,30,330,2700,30.0,31,23,54,29,2,2,59,0,1.03,0.77,1.8,0.97,1.73
1,Baroka FC,35,25.8,,30,330,2700,30.0,25,18,43,23,2,2,39,2,0.83,0.6,1.43,0.77,1.37
2,Bidvest Wits,26,28.8,,30,330,2700,30.0,44,30,74,39,5,7,62,4,1.47,1.0,2.47,1.3,2.3
3,Black Leopards,29,27.4,,30,330,2700,30.0,30,19,49,26,4,6,42,2,1.0,0.63,1.63,0.87,1.5
4,Bloem Celtic,31,26.5,,30,330,2700,30.0,34,22,56,32,2,4,41,2,1.13,0.73,1.87,1.07,1.8
5,Cape Town City,29,26.1,,30,330,2700,30.0,44,32,76,42,2,2,45,4,1.47,1.07,2.53,1.4,2.47
6,Chippa Utd,32,27.8,,30,330,2700,30.0,25,18,43,24,1,2,46,0,0.83,0.6,1.43,0.8,1.4
7,Free State Stars,31,29.3,,30,330,2700,30.0,28,19,47,26,2,2,64,5,0.93,0.63,1.57,0.87,1.5
8,Golden Arrows,31,26.4,,30,330,2700,30.0,27,14,41,23,4,5,50,2,0.9,0.47,1.37,0.77,1.23
9,Highlands Park,32,26.8,,30,330,2700,30.0,34,20,54,33,1,1,48,2,1.13,0.67,1.8,1.1,1.77
10,Kaizer Chiefs,35,27.8,,30,330,2700,30.0,32,23,55,29,3,3,35,0,1.07,0.77,1.83,0.97,1.73
11,Maritzburg Utd,28,25.2,,30,330,2700,30.0,21,17,38,21,0,0,45,3,0.7,0.57,1.27,0.7,1.27
12,Orlando Pirates,34,27.8,,30,330,2700,30.0,40,30,70,37,3,5,48,2,1.33,1.0,2.33,1.23,2.23
13,Polokwane City,29,27.0,,30,330,2700,30.0,37,29,66,36,1,2,48,2,1.23,0.97,2.2,1.2,2.17
14,Sundowns,29,29.0,,30,330,2700,30.0,39,29,68,35,4,4,40,3,1.3,0.97,2.27,1.17,2.13
15,SuperSport,28,28.0,,30,330,2700,30.0,28,20,48,27,1,1,44,1,0.93,0.67,1.6,0.9,1.57
