,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,AmaZulu,32,29.3,,30,330,2700,30.0,28,20,48,27,1,2,50,4,0.93,0.67,1.6,0.9,1.57
1,Cape Town City,31,27.8,,30,330,2700,30.0,33,22,55,33,0,0,67,6,1.1,0.73,1.83,1.1,1.83
2,Chippa Utd,34,26.9,,30,330,2700,30.0,28,19,47,27,1,1,49,0,0.93,0.63,1.57,0.9,1.53
3,Golden Arrows,28,26.9,,30,330,2700,30.0,32,22,54,29,3,5,47,1,1.07,0.73,1.8,0.97,1.7
4,Kaizer Chiefs,31,26.9,,30,330,2700,30.0,31,21,52,24,7,10,53,1,1.03,0.7,1.73,0.8,1.5
5,Maritzburg Utd,35,26.5,,30,330,2700,30.0,22,12,34,19,3,4,48,1,0.73,0.4,1.13,0.63,1.03
6,Marumo Gallants FC,39,29.6,,30,330,2700,30.0,27,18,45,25,2,4,51,4,0.9,0.6,1.5,0.83,1.43
7,Moroka Swallows,35,28.2,,30,330,2700,30.0,25,17,42,22,3,3,41,2,0.83,0.57,1.4,0.73,1.3
8,Orlando Pirates,35,28.0,,30,330,2700,30.0,39,31,70,37,2,3,49,2,1.3,1.03,2.33,1.23,2.27
9,Richards Bay FC,32,27.1,,30,330,2700,30.0,17,9,26,15,2,3,35,4,0.57,0.3,0.87,0.5,0.8
10,Royal Eagles FC,41,30.7,,30,330,2700,30.0,33,24,57,33,0,1,51,1,1.1,0.8,1.9,1.1,1.9
11,Sekhukhune United FC,35,29.3,,30,330,2700,30.0,24,15,39,22,2,3,49,3,0.8,0.5,1.3,0.73,1.23
12,Stellenbosch FC,32,25.3,,30,330,2700,30.0,37,25,62,35,2,5,44,2,1.23,0.83,2.07,1.17,2.0
13,Sundowns,41,27.9,,30,330,2700,30.0,50,35,85,48,2,2,44,2,1.67,1.17,2.83,1.6,2.77
14,SuperSport,30,27.2,,30,330,2700,30.0,32,23,55,31,1,4,49,1,1.07,0.77,1.83,1.03,1.8
15,TS Galaxy,28,28.4,,30,330,2700,30.0,28,20,48,25,3,4,47,1,0.93,0.67,1.6,0.83,1.5
