,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,AmaZulu,31,26.9,,30,330,2700,30.0,19,13,32,16,3,3,67,0,0.63,0.43,1.07,0.53,0.97
1,Baroka FC,38,25.9,,30,330,2700,30.0,18,10,28,17,1,2,52,4,0.6,0.33,0.93,0.57,0.9
2,Bidvest Wits,31,27.6,,30,330,2700,30.0,33,24,57,30,3,3,61,2,1.1,0.8,1.9,1.0,1.8
3,Black Leopards,32,28.2,,30,330,2700,30.0,26,14,40,22,4,4,47,0,0.87,0.47,1.33,0.73,1.2
4,Bloem Celtic,34,27.4,,30,330,2700,30.0,43,34,77,40,3,4,42,1,1.43,1.13,2.57,1.33,2.47
5,Cape Town City,30,26.9,,30,330,2700,30.0,39,26,65,38,1,1,59,4,1.3,0.87,2.17,1.27,2.13
6,Chippa Utd,30,26.7,,30,330,2700,30.0,18,13,31,16,2,2,51,6,0.6,0.43,1.03,0.53,0.97
7,Golden Arrows,33,26.4,,30,330,2700,30.0,22,13,35,16,6,7,64,0,0.73,0.43,1.17,0.53,0.97
8,Highlands Park,32,28.1,,30,330,2700,30.0,31,20,51,27,4,4,65,2,1.03,0.67,1.7,0.9,1.57
9,Kaizer Chiefs,29,28.5,,30,330,2700,30.0,46,36,82,43,3,4,47,1,1.53,1.2,2.73,1.43,2.63
10,Maritzburg Utd,29,27.0,,30,330,2700,30.0,28,19,47,25,3,6,43,3,0.93,0.63,1.57,0.83,1.47
11,Orlando Pirates,31,28.2,,30,330,2700,30.0,39,29,68,36,3,3,62,2,1.3,0.97,2.27,1.2,2.17
12,Polokwane City,31,27.9,,30,330,2700,30.0,25,18,43,24,1,2,44,2,0.83,0.6,1.43,0.8,1.4
13,Stellenbosch FC,32,27.5,,30,330,2700,30.0,25,20,45,24,1,1,59,3,0.83,0.67,1.5,0.8,1.47
14,Sundowns,29,28.9,,30,330,2700,30.0,41,32,73,36,5,6,42,2,1.37,1.07,2.43,1.2,2.27
15,SuperSport,26,27.5,,30,330,2700,30.0,43,32,75,38,5,9,52,1,1.43,1.07,2.5,1.27,2.33
